corpus,config,split,offset,cluster_id,row_id,selection_digest
openswe,openhands,minimax_m25,8296,aeye-lab__pymovements-408,e48e6c51-3548-4d4d-98f9-9861dd0818ae,5735101415205565870771282203654a8d6281c1cb00a203ee9f17cdaee075f0
openswe,openhands,minimax_m25,28119,netlify__zip-it-and-ship-it-619,5730deb2-7a07-4314-bc3b-11c6e760025b,6869110a52ecec662e8deeb4d98b050ffee3f88a45b106dc65a1dba6f8e06a3a
openswe,openhands,minimax_m25,23597,narwhals-dev__narwhals-1625,e1b48fee-5235-4e46-a2c2-7c4e67ed02c4,0b76b082622a045799aaa23763ef91286dfbeb42a53be63e247ce0f15cf1c793
openswe,openhands,minimax_m25,48723,unleash__unleash-client-java-177,0a9df22a-95b5-4ad9-853b-ad29da849b46,90e22ccf6ad53aa87403b527b00e860c3fbb1a5b2f6d3863b0bf4c49e3e9efe5
openswe,openhands,minimax_m25,31093,lukeautry__tsoa-468,943b6edc-7046-48bb-becd-f0fd79dcf095,1740a35057a625120b9be5d160406a1b5097cf0c8177c81515ed1ea948afb785
openswe,openhands,minimax_m25,4063,asyncapi__modelina-554,275b3acf-9f71-4dab-9070-5f17e64d4829,73ee220baf5a4930c8e191d66596e5ce1cb88eeb98ee48dc2ab5d5b0f5732f7a
openswe,openhands,minimax_m25,42882,pallets__click-2006,3c70e417-7522-46b3-9896-a89a71dffa68,f4c969ac6e642cbb263e6287bbc2f4b742d26d5856060a2e85ee2c742b6ea814
openswe,openhands,minimax_m25,11141,swup__swup-869,ad9139e4-6e80-4969-bf22-e3a8e4fdeba8,552d55cb69cdced7a783ac1df14924977d271af015759b9db4f4a6c5f1652263
openswe,openhands,minimax_m25,18342,googlefonts__glyphslib-563,11ad5d60-01f2-42cb-8f04-d1128f8d4560,b8aaa2e3a7288b3f71351f611d5400f71f93ab19a6a2a936a9ace4cadd5ba4e4
openswe,openhands,minimax_m25,17006,cobalt-org__liquid-rust-556,cf687885-3ba1-4234-b5de-52f0432a6768,3bc5f29378cd53b1afe682bff0d64756627ea1e5317627ee1133eba06f33fd94
openswe,openhands,minimax_m25,14030,pypa__pip-11466,0f365b5e-d2d3-421f-a8da-e806c8af44b0,2c4eae42c5d1ebb748d3e8ab723d503eb4b10c4285b7d9a818f15c80e05ce1da
openswe,openhands,minimax_m25,26386,cta-observatory__ctapipe-1883,774fa2ae-60db-4867-8d2b-f306f85d3c30,374a0fbe4a551c413af3022c092d56fab397a4f3b8533f9d8e25f9078f133dee
openswe,openhands,minimax_m25,594,eslint__eslint-8270,2a1621c4-aba4-455a-9598-53a32c666e1b,f4a4e7c4255e8e6cfdd52446bf76b25bc33225111f0413b9bce7c0bc26b01d27
openswe,openhands,minimax_m25,34291,sindresorhus__got-335,46bedf2d-850d-4fbe-b17e-386b631626f2,22076625d0f9ae420b8c1a3c6e89f10b461be4567615f4e5fe0dbf3fe01a1d90
openswe,openhands,minimax_m25,20955,obsidian-tasks-group__obsidian-tasks-1563,d594f803-075e-4ea9-9f2d-4c5b0cf37347,738052cde547f3f97792a0eea6baf268bf5bf9642b659e242e5ede3675ac1f58
