scope,project,baseline_components,baseline_boundaries,risk_path_actions,risk_events_with_projected_nonhome_target,current_projection_path_ablation_components,current_projection_path_ablation_boundaries,current_projection_path_ablation_boundary_shift,scope_preserving_component_shift_upper,scope_preserving_boundary_shift_upper,known_worktrees,risky_sessions,cross_worktree_reassignment_capacity,material_for_boundary_count_scope_preserving,cross_worktree_boundary_bound,note
broad,ActPlane,24,22,15501,6,24,22,0,0,0,2,119,119,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
broad,academic-writing-skills,17,16,192,0,17,16,0,0,0,1,10,0,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
broad,agentsight,31,28,33089,3844,31,28,0,0,0,3,165,330,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
broad,agentskill-observability-paper,2,1,113,0,2,1,0,0,0,1,6,0,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
broad,bpf-developer-tutorial,29,28,209,2,29,28,0,0,0,1,19,0,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
broad,eunomia.dev,18,16,2688,1,17,16,0,0,0,2,48,48,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
heldout_trigger,ActPlane,24,22,3493,2,24,22,0,0,0,2,84,84,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
heldout_trigger,academic-writing-skills,17,16,58,0,17,16,0,0,0,1,9,0,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
heldout_trigger,agentsight,31,28,4335,395,31,28,0,0,0,3,121,242,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
heldout_trigger,agentskill-observability-paper,2,1,32,0,2,1,0,0,0,1,4,0,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
heldout_trigger,bpf-developer-tutorial,29,28,66,2,29,28,0,0,0,1,14,0,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
heldout_trigger,eunomia.dev,18,16,481,0,18,16,0,0,0,2,36,36,False,out_of_v2_boundary_not_estimated,Path-label/admission correction within the event's attributed worktree cannot change source-session component or boundary count.
