task,dataset,query_family,objective,metric,direction,best_policy,best_policy_class,best_view,best_ranker,best_value,operation_stack_query_aware_value,operation_stack_query_aware_regret,fixed_session_query_aware_regret,flat_width_regret,tradeoff_class,mechanism_labels,mechanism_count,optimization_action,useful_stack_fields,counterpoints,actionable
agentnet_incorrect_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0886,0.0886,0.0,0.0087,0.0292,default_operation_stack_suffices,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,0.1123,0.0067,0.1056,0.0893,0.0002,raw_action_mapping_counterpoint,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,budget30_recall,budget30_recall,higher,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.4382,0.4382,0.0,0.032,0.4382,default_operation_stack_suffices,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0007,0.0007,0.0,0.001,0.9993,default_operation_stack_suffices,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,lower,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,1.0,186.0,185.0,325.0,0.0,raw_action_mapping_counterpoint,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_incorrect_step,agentnet,step-quality,total_group_fragmentation,groups,lower,flat:width,flat_summary_counterpoint,flat,width,1.0,289.0,288.0,834.0,0.0,flat_summary_counterpoint,stack_depth_tradeoff; transfer_policy_signal; raw_action_or_baseline_counterpoint,3,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,higher,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.0875,0.0875,0.0,0.0087,0.0147,default_operation_stack_suffices,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,top5_localization_f1,top5_f1,higher,raw_action_stack:width,raw_action_stack_counterpoint,raw_action_stack,width,0.1419,0.0316,0.1103,0.1199,0.0062,raw_action_mapping_counterpoint,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,budget30_recall,budget30_recall,higher,operation_stack:query_aware,default_operation_stack,operation_stack,query_aware,0.3533,0.3533,0.0,0.0231,0.3533,default_operation_stack_suffices,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
agentnet_redundant_step,agentnet,step-quality,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack_variant,operation_stack,visible_risk,0.0011,0.0051,0.004,0.0002,0.9989,operation_stack_ranker_or_depth_tuning,mapping_hurts; critical_rank_features; stack_depth_tradeoff; transfer_policy_signal; fixed_session_first_positive_counterpoint; raw_action_or_baseline_counterpoint,6,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",fixed_session_lower_work_to_first_positive; raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1,True
