id,project,family,template,frozen_expected,corrected_expected,changed
agentsight-A1,agentsight,A,A1,81,97,1
agentsight-A2,agentsight,A,A2,19,6,1
agentsight-A3,agentsight,A,A3,13,13,0
agentsight-A4,agentsight,A,A4,1,1,0
agentsight-A5,agentsight,A,A5,1,1,0
agentsight-B1,agentsight,B,B1,21,21,0
agentsight-B2,agentsight,B,B2,17,17,0
agentsight-B3,agentsight,B,B3,4,4,0
agentsight-B4,agentsight,B,B4,read,read,0
agentsight-B5,agentsight,B,B5,1,1,0
agentsight-C1,agentsight,C,C1,1,1,0
agentsight-C2,agentsight,C,C2,1,1,0
agentsight-C3,agentsight,C,C3,0,0,0
agentsight-C4,agentsight,C,C4,0,0,0
agentsight-C5,agentsight,C,C5,2,2,0
agentsight-D1,agentsight,D,D1,tracked,tracked,0
agentsight-D2,agentsight,D,D2,tracked,tracked,0
agentsight-D3,agentsight,D,D3,tracked,tracked,0
agentsight-D4,agentsight,D,D4,tracked,tracked,0
agentsight-D5,agentsight,D,D5,absent,absent,0
ActPlane-A1,ActPlane,A,A1,104,331,1
ActPlane-A2,ActPlane,A,A2,161,471,1
ActPlane-A3,ActPlane,A,A3,595,457,1
ActPlane-A4,ActPlane,A,A4,3,4,1
ActPlane-A5,ActPlane,A,A5,0,1,1
ActPlane-B1,ActPlane,B,B1,75,75,0
ActPlane-B2,ActPlane,B,B2,22,22,0
ActPlane-B3,ActPlane,B,B3,53,53,0
ActPlane-B4,ActPlane,B,B4,read,read,0
ActPlane-B5,ActPlane,B,B5,2,2,0
ActPlane-C1,ActPlane,C,C1,1,3,1
ActPlane-C2,ActPlane,C,C2,1,3,1
ActPlane-C3,ActPlane,C,C3,0,0,0
ActPlane-C4,ActPlane,C,C4,1,1,0
ActPlane-C5,ActPlane,C,C5,4,12,1
ActPlane-D1,ActPlane,D,D1,untracked,untracked,0
ActPlane-D2,ActPlane,D,D2,untracked,untracked,0
ActPlane-D3,ActPlane,D,D3,untracked,untracked,0
ActPlane-D4,ActPlane,D,D4,untracked,untracked,0
ActPlane-D5,ActPlane,D,D5,absent,absent,0
bpf-developer-tutorial-A1,bpf-developer-tutorial,A,A1,214,217,1
bpf-developer-tutorial-A2,bpf-developer-tutorial,A,A2,33,35,1
bpf-developer-tutorial-A3,bpf-developer-tutorial,A,A3,42,39,1
bpf-developer-tutorial-A4,bpf-developer-tutorial,A,A4,5,6,1
bpf-developer-tutorial-A5,bpf-developer-tutorial,A,A5,0,1,1
bpf-developer-tutorial-B1,bpf-developer-tutorial,B,B1,14,14,0
bpf-developer-tutorial-B2,bpf-developer-tutorial,B,B2,5,5,0
bpf-developer-tutorial-B3,bpf-developer-tutorial,B,B3,9,9,0
bpf-developer-tutorial-B4,bpf-developer-tutorial,B,B4,mutate,mutate,0
bpf-developer-tutorial-B5,bpf-developer-tutorial,B,B5,1,1,0
bpf-developer-tutorial-C1,bpf-developer-tutorial,C,C1,6,7,1
bpf-developer-tutorial-C2,bpf-developer-tutorial,C,C2,7,8,1
bpf-developer-tutorial-C3,bpf-developer-tutorial,C,C3,0,0,0
bpf-developer-tutorial-C4,bpf-developer-tutorial,C,C4,0,0,0
bpf-developer-tutorial-C5,bpf-developer-tutorial,C,C5,17,22,1
bpf-developer-tutorial-D1,bpf-developer-tutorial,D,D1,tracked,tracked,0
bpf-developer-tutorial-D2,bpf-developer-tutorial,D,D2,tracked,tracked,0
bpf-developer-tutorial-D3,bpf-developer-tutorial,D,D3,tracked,tracked,0
bpf-developer-tutorial-D4,bpf-developer-tutorial,D,D4,tracked,tracked,0
bpf-developer-tutorial-D5,bpf-developer-tutorial,D,D5,tracked,tracked,0
eunomia.dev-A1,eunomia.dev,A,A1,225,229,1
eunomia.dev-A2,eunomia.dev,A,A2,268,212,1
eunomia.dev-A3,eunomia.dev,A,A3,102,103,1
eunomia.dev-A4,eunomia.dev,A,A4,4,4,0
eunomia.dev-A5,eunomia.dev,A,A5,3,3,0
eunomia.dev-B1,eunomia.dev,B,B1,43,43,0
eunomia.dev-B2,eunomia.dev,B,B2,32,32,0
eunomia.dev-B3,eunomia.dev,B,B3,11,11,0
eunomia.dev-B4,eunomia.dev,B,B4,read,read,0
eunomia.dev-B5,eunomia.dev,B,B5,2,2,0
eunomia.dev-C1,eunomia.dev,C,C1,1,1,0
eunomia.dev-C2,eunomia.dev,C,C2,5,5,0
eunomia.dev-C3,eunomia.dev,C,C3,1,1,0
eunomia.dev-C4,eunomia.dev,C,C4,2,2,0
eunomia.dev-C5,eunomia.dev,C,C5,17,17,0
eunomia.dev-D1,eunomia.dev,D,D1,tracked,tracked,0
eunomia.dev-D2,eunomia.dev,D,D2,tracked,tracked,0
eunomia.dev-D3,eunomia.dev,D,D3,tracked,tracked,0
eunomia.dev-D4,eunomia.dev,D,D4,tracked,tracked,0
eunomia.dev-D5,eunomia.dev,D,D5,untracked,untracked,0
agentskill-observability-paper-A1,agentskill-observability-paper,A,A1,165,165,0
agentskill-observability-paper-A2,agentskill-observability-paper,A,A2,234,140,1
agentskill-observability-paper-A3,agentskill-observability-paper,A,A3,0,0,0
agentskill-observability-paper-A4,agentskill-observability-paper,A,A4,3,3,0
agentskill-observability-paper-A5,agentskill-observability-paper,A,A5,0,0,0
agentskill-observability-paper-B1,agentskill-observability-paper,B,B1,237,237,0
agentskill-observability-paper-B2,agentskill-observability-paper,B,B2,125,125,0
agentskill-observability-paper-B3,agentskill-observability-paper,B,B3,112,112,0
agentskill-observability-paper-B4,agentskill-observability-paper,B,B4,read,read,0
agentskill-observability-paper-B5,agentskill-observability-paper,B,B5,10,10,0
agentskill-observability-paper-C1,agentskill-observability-paper,C,C1,8,8,0
agentskill-observability-paper-C2,agentskill-observability-paper,C,C2,9,9,0
agentskill-observability-paper-C3,agentskill-observability-paper,C,C3,1,1,0
agentskill-observability-paper-C4,agentskill-observability-paper,C,C4,11,11,0
agentskill-observability-paper-C5,agentskill-observability-paper,C,C5,2,2,0
agentskill-observability-paper-D1,agentskill-observability-paper,D,D1,tracked,tracked,0
agentskill-observability-paper-D2,agentskill-observability-paper,D,D2,tracked,tracked,0
agentskill-observability-paper-D3,agentskill-observability-paper,D,D3,tracked,tracked,0
agentskill-observability-paper-D4,agentskill-observability-paper,D,D4,tracked,tracked,0
agentskill-observability-paper-D5,agentskill-observability-paper,D,D5,tracked,tracked,0
academic-writing-skills-A1,academic-writing-skills,A,A1,112,112,0
academic-writing-skills-A2,academic-writing-skills,A,A2,357,250,1
academic-writing-skills-A3,academic-writing-skills,A,A3,0,0,0
academic-writing-skills-A4,academic-writing-skills,A,A4,5,5,0
academic-writing-skills-A5,academic-writing-skills,A,A5,0,0,0
academic-writing-skills-B1,academic-writing-skills,B,B1,90,90,0
academic-writing-skills-B2,academic-writing-skills,B,B2,16,16,0
academic-writing-skills-B3,academic-writing-skills,B,B3,74,74,0
academic-writing-skills-B4,academic-writing-skills,B,B4,read,read,0
academic-writing-skills-B5,academic-writing-skills,B,B5,6,6,0
academic-writing-skills-C1,academic-writing-skills,C,C1,6,6,0
academic-writing-skills-C2,academic-writing-skills,C,C2,9,8,1
academic-writing-skills-C3,academic-writing-skills,C,C3,2,2,0
academic-writing-skills-C4,academic-writing-skills,C,C4,11,11,0
academic-writing-skills-C5,academic-writing-skills,C,C5,23,23,0
academic-writing-skills-D1,academic-writing-skills,D,D1,tracked,tracked,0
academic-writing-skills-D2,academic-writing-skills,D,D2,tracked,tracked,0
academic-writing-skills-D3,academic-writing-skills,D,D3,tracked,tracked,0
academic-writing-skills-D4,academic-writing-skills,D,D4,tracked,tracked,0
academic-writing-skills-D5,academic-writing-skills,D,D5,tracked,tracked,0
