check,passed,detail
rq2_primary_comparison_visible,True,"RQ2 opens with primary comparison, success criterion, and the R320 table route."
rq2_baselines_and_failure_interpretation_visible,True,RQ2 names flat/fixed-session baselines and explains failure interpretation before support-run details.
rq2_claim_flow_precedes_support_runs,True,RQ2 claim-flow opener and failure interpretation appear before support/provenance run details.
rq2_non_dominance_preserved,True,"RQ2 remains a scoped Pareto tradeoff, not metric dominance or human utility."
rq3_mechanism_question_visible,True,"RQ3 starts from mechanism/actionability, not another leaderboard."
rq3_actionability_loop_visible,True,RQ3 connects diagnosis to executable profile-spec patches.
rq3_failure_and_non_claims_visible,True,RQ3 preserves OSWorld-Human failure interpretation and automatic-selector non-claims.
support_runs_stay_supporting,True,Support runs remain support/ablation/repair evidence inside E2/E3.
prior_gates_remain_passing,True,R379 builds on passing R377 main-claim and R378 table-budget gates.
evaluation_ledger_mentions_r379,True,The evaluation ledger records this RQ2/RQ3 claim-flow guardrail.
english_submodule_input_committed,True,The English paper input is clean in the submodule and captured by the parent gitlink.
source_status_tracked,True,All R379 sources are tracked or intentionally dirty/staged.
