check,status,evidence
four_substantial_core_experiments,pass,"4 ledger rows, ordered RQ1/E1-RQ4/E4."
every_core_row_has_claim_oracle_baseline_metric_scope,pass,"Each row has claim, question, oracle, baselines, metrics, insight, counterpoint, wording, and source runs."
hidden_label_localization_scale_and_metrics,pass,E2 records the R320 hidden-label scale and the full localization/ranking metric surface.
baseline_tradeoff_not_metric_dominance,pass,"E2 names required baselines and explicitly scopes the result to tradeoffs, not all-metric wins."
oracle_depth_and_fragmentation_evidence,pass,R355 oracle-depth rows preserve depth-aware accuracy and fragmentation support.
actionability_mechanism_and_counterpoints,pass,"E3 records executable profile patches, learned-boundary AP gain, field/ranker evidence, and inspection-cost counterpoints."
field_derivation_mechanism_integrated,pass,"R366 field-derivation mechanism evidence is represented inside E1/E3 ledger rows, not as a separate core experiment."
artifact_hygiene_gates_available,pass,"R352/R357/R359/R360 pass as artifact-hygiene gates, not empirical profiler evidence."
two_abstraction_boundary_preserved,pass,"The ledger keeps prompt/session/tool/process/syscall as operation forms or fields, not new profiler objects."
must_not_claims_preserved,pass,The ledger carries the must-not-claim guardrails for E2-E4.
upstream_empirical_sources_tracked_clean,pass,Empirical R320/R354/R355/R358 source artifacts are tracked and clean; paper hygiene gates may be regenerated in this run.
