Type: operations
Showing nodes accounting for 477, 97.55% of 489 total
Dropped 16 nodes (cum <= 2)
      flat  flat%   sum%        cum   cum%
       199 40.70% 40.70%        199 40.70%  tool:run
        43  8.79% 49.49%         43  8.79%  tool:git
        29  5.93% 55.42%         29  5.93%  tool:sshpass
        24  4.91% 60.33%         24  4.91%  tool:echo
        20  4.09% 64.42%         20  4.09%  tool:cd
        20  4.09% 68.51%         20  4.09%  tool:service
        12  2.45% 70.96%         12  2.45%  tool:ls
        10  2.04% 73.01%         10  2.04%  tool:curl
        10  2.04% 75.05%         10  2.04%  tool:ss
         9  1.84% 76.89%          9  1.84%  tool:c-c
         9  1.84% 78.73%          9  1.84%  tool:cat
         9  1.84% 80.57%          9  1.84%  tool:rm
         8  1.64% 82.21%          8  1.64%  tool:edit
         7  1.43% 83.64%          7  1.43%  tool:sed
         6  1.23% 84.87%          6  1.23%  tool:mkdir
         6  1.23% 86.09%          6  1.23%  tool:sleep
         5  1.02% 87.12%          5  1.02%  tool:apt-get
         5  1.02% 88.14%          5  1.02%  tool:chown
         5  1.02% 89.16%          5  1.02%  tool:iptables
         5  1.02% 90.18%          5  1.02%  tool:sshd
         4  0.82% 91.00%          4  0.82%  tool:killall
         4  0.82% 91.82%          4  0.82%  tool:ps
         4  0.82% 92.64%          4  0.82%  tool:think
         3  0.61% 93.25%          3  0.61%  tool:chmod
         3  0.61% 93.87%          3  0.61%  tool:grep
         3  0.61% 94.48%          3  0.61%  tool:iptables-legacy
         3  0.61% 95.09%          3  0.61%  tool:usermod
         2  0.41% 95.50%          2  0.41%  tool:adduser
         2  0.41% 95.91%          2  0.41%  tool:finish
         2  0.41% 96.32%          2  0.41%  tool:nginx
         2  0.41% 96.73%          2  0.41%  tool:socat
         2  0.41% 97.14%          2  0.41%  tool:tail
         2  0.41% 97.55%          2  0.41%  tool:which
         0     0% 97.55%         91 18.61%  action_kind:edit
         0     0% 97.55%        169 34.56%  action_kind:execute
         0     0% 97.55%         59 12.07%  action_kind:inspect
         0     0% 97.55%          7  1.43%  action_kind:install
         0     0% 97.55%         44  9.00%  action_kind:search
         0     0% 97.55%        118 24.13%  action_kind:version-control
         0     0% 97.55%        214 43.76%  agent:openhands
         0     0% 97.55%        275 56.24%  agent:terminus2
         0     0% 97.55%         21  4.29%  operation:configure_secure_transport_and_branch_endpoints
         0     0% 97.55%          3  0.61%  operation:configure_the_ssh_account_and_service
         0     0% 97.55%         13  2.66%  operation:configure_tls_and_nginx_endpoints
         0     0% 97.55%          2  0.41%  operation:consider_an_http-authentication_fallback
         0     0% 97.55%          4  0.82%  operation:create_the_git_user_and_bare_repository
         0     0% 97.55%        489   100%  operation:deploy_git_branches_over_ssh_and_https
         0     0% 97.55%        105 21.47%  operation:diagnose_rejected_ssh_password_authentication
         0     0% 97.55%         54 11.04%  operation:diagnose_required_repository_transport
         0     0% 97.55%          6  1.23%  operation:implement_branch-triggered_deployment
         0     0% 97.55%         22  4.50%  operation:implement_push-triggered_deployment
         0     0% 97.55%          2  0.41%  operation:isolate_ssh_behavior_on_an_alternate_port
         0     0% 97.55%          2  0.41%  operation:plan_the_server_and_deployment_components
         0     0% 97.55%         17  3.48%  operation:provision_repository_transport_and_web_serving
         0     0% 97.55%         15  3.07%  operation:provision_the_ssh_service
         0     0% 97.55%         20  4.09%  operation:reconfigure_repository_transport
         0     0% 97.55%         19  3.89%  operation:redirect_the_required_repository_endpoint
         0     0% 97.55%          4  0.82%  operation:replace_the_ssh_daemon_configuration
         0     0% 97.55%         10  2.04%  operation:restore_password-authenticated_repository_access
         0     0% 97.55%         32  6.54%  operation:seek_network-level_endpoint_redirection
         0     0% 97.55%          8  1.64%  operation:summarize_deployment_evidence
         0     0% 97.55%          8  1.64%  operation:try_key_authentication_as_a_control
         0     0% 97.55%          7  1.43%  operation:validate_branch_contents_through_the_alternate_ssh_service
         0     0% 97.55%          3  0.61%  operation:validate_deployment_through_a_local-file_transport
         0     0% 97.55%         29  5.93%  operation:validate_repository_access_on_an_alternate_port
         0     0% 97.55%         27  5.52%  operation:validate_repository_deployment
         0     0% 97.55%         32  6.54%  operation:validate_repository_hooks_and_https_deployment_locally
         0     0% 97.55%         16  3.27%  operation:validate_secure_branch_endpoints
         0     0% 97.55%          9  1.84%  operation:validate_ssh_cloning
         0     0% 97.55%        159 32.52%  phase:change
         0     0% 97.55%        330 67.48%  phase:explore
         0     0% 97.55%        489   100%  project:codetracebench
