Type: operations
Showing nodes accounting for 4737, 82.38% of 5750 total
Dropped 658 nodes (cum <= 28)
      flat  flat%   sum%        cum   cum%
       968 16.83% 16.83%        968 16.83%  tool:run
       312  5.43% 22.26%        312  5.43%  tool:cat
       301  5.23% 27.50%        301  5.23%  tool:python3
       279  4.85% 32.35%        279  4.85%  tool:grep
       236  4.10% 36.45%        236  4.10%  tool:sed
       228  3.97% 40.42%        228  3.97%  tool:other
       227  3.95% 44.37%        227  3.95%  tool:edit
       216  3.76% 48.12%        216  3.76%  tool:ls
       212  3.69% 51.81%        212  3.69%  tool:echo
       183  3.18% 54.99%        183  3.18%  tool:cd
       139  2.42% 57.41%        139  2.42%  tool:curl
       112  1.95% 59.36%        112  1.95%  tool:c-c
       109  1.90% 61.25%        109  1.90%  tool:read
        97  1.69% 62.94%         97  1.69%  tool:find
        91  1.58% 64.52%         91  1.58%  tool:apt-get
        77  1.34% 65.86%         77  1.34%  tool:cp
        66  1.15% 67.01%         66  1.15%  tool:which
        65  1.13% 68.14%         65  1.13%  tool:make
        63  1.10% 69.23%         63  1.10%  tool:head
        63  1.10% 70.33%         63  1.10%  tool:str_replace_editor
        53  0.92% 71.25%         53  0.92%  tool:git
        50  0.87% 72.12%         50  0.87%  tool:strings
        46   0.8% 72.92%         46   0.8%  tool:run_ipython
        43  0.75% 73.67%         43  0.75%  tool:sqlite3
        42  0.73% 74.40%         42  0.73%  tool:sleep
        38  0.66% 75.06%         38  0.66%  tool:service
        37  0.64% 75.70%         37  0.64%  tool:node
        37  0.64% 76.35%         37  0.64%  tool:ps
        35  0.61% 76.96%         35  0.61%  tool:unknown
        34  0.59% 77.55%         34  0.59%  tool:i
        34  0.59% 78.14%         34  0.59%  tool:pytest
        33  0.57% 78.71%         33  0.57%  tool:rm
        32  0.56% 79.27%         32  0.56%  tool:chmod
        32  0.56% 79.83%         32  0.56%  tool:rustc
        31  0.54% 80.37%         31  0.54%  tool:g++
        30  0.52% 80.89%         30  0.52%  tool:pdflatex
        29   0.5% 81.39%         29   0.5%  tool:sshpass
        29   0.5% 81.90%         29   0.5%  tool:tail
        28  0.49% 82.38%         28  0.49%  tool:mailman
         0     0% 82.38%       1032 17.95%  action_kind:edit
         0     0% 82.38%       2191 38.10%  action_kind:execute
         0     0% 82.38%       1177 20.47%  action_kind:inspect
         0     0% 82.38%        218  3.79%  action_kind:install
         0     0% 82.38%        223  3.88%  action_kind:other
         0     0% 82.38%        730 12.70%  action_kind:search
         0     0% 82.38%         44  0.77%  action_kind:test
         0     0% 82.38%        135  2.35%  action_kind:version-control
         0     0% 82.38%       1383 24.05%  agent:openhands
         0     0% 82.38%        244  4.24%  agent:swe-agent
         0     0% 82.38%       4123 71.70%  agent:terminus2
         0     0% 82.38%        191  3.32%  operation:accelerate_the_mujoco_model_without_changing_its_final_state
         0     0% 82.38%         29   0.5%  operation:adapt_tokenizer_mapping_for_registered_configs
         0     0% 82.38%        121  2.10%  operation:add_per-item_notes_to_reading_lists
         0     0% 82.38%         48  0.83%  operation:automatic_navigation_and_form_submission
         0     0% 82.38%        107  1.86%  operation:build_a_bootable_root-login_initramfs
         0     0% 82.38%        113  1.97%  operation:build_a_competitive_warrior
         0     0% 82.38%        238  4.14%  operation:build_and_validate_magsac
         0     0% 82.38%         97  1.69%  operation:build_intrusion_detection_and_incident_response_scripts
         0     0% 82.38%         65  1.13%  operation:build_magsac_from_source
         0     0% 82.38%         38  0.66%  operation:build_opencv_from_source
         0     0% 82.38%        275  4.78%  operation:build_parallel_particle_simulators
         0     0% 82.38%        136  2.37%  operation:build_rust_and_c++_fibonacci_polyglot
         0     0% 82.38%        142  2.47%  operation:bypass_the_html_javascript_filter
         0     0% 82.38%        100  1.74%  operation:convert_pcap_packets_into_netflow_v5_files
         0     0% 82.38%        103  1.79%  operation:debug_an_opaque_remote_program
         0     0% 82.38%        489  8.50%  operation:deploy_git_branches_over_ssh_and_https
         0     0% 82.38%        201  3.50%  operation:deploy_reading_group_mailing_list
         0     0% 82.38%         31  0.54%  operation:deploy_replacement_binary
         0     0% 82.38%        101  1.76%  operation:deploy_single_node_hdfs_cluster
         0     0% 82.38%        104  1.81%  operation:design_dual_language_syntax
         0     0% 82.38%         30  0.52%  operation:diagnose_additional_instructions
         0     0% 82.38%         39  0.68%  operation:diagnose_delivery_timing
         0     0% 82.38%        120  2.09%  operation:diagnose_persistent_overwrite
         0     0% 82.38%        105  1.83%  operation:diagnose_rejected_ssh_password_authentication
         0     0% 82.38%         54  0.94%  operation:diagnose_required_repository_transport
         0     0% 82.38%         29   0.5%  operation:diagnose_the_disappearing_service
         0     0% 82.38%         93  1.62%  operation:diagnose_vm_startup
