 agent: Total 489.0
        275.0 (56.24%): terminus2
        214.0 (43.76%): openhands

 call_id: Total 489.0
          22.0 ( 4.50%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-4
          16.0 ( 3.27%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-6
          16.0 ( 3.27%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-8
          16.0 ( 3.27%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-9
          15.0 ( 3.07%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-22
          11.0 ( 2.25%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-0
          11.0 ( 2.25%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-2
          11.0 ( 2.25%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-5
          10.0 ( 2.04%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-15
          10.0 ( 2.04%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-17
          10.0 ( 2.04%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-18
          10.0 ( 2.04%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-23
          10.0 ( 2.04%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-24
          10.0 ( 2.04%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-3
          10.0 ( 2.04%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-7
           9.0 ( 1.84%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-16
           9.0 ( 1.84%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-19
           9.0 ( 1.84%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-21
           8.0 ( 1.64%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-10
           8.0 ( 1.64%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-12
           8.0 ( 1.64%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-13
           8.0 ( 1.64%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-20
           8.0 ( 1.64%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-25
           7.0 ( 1.43%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-11
           7.0 ( 1.43%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-14
           6.0 ( 1.23%): terminus2-deepseek__deepseek-v3.2-git-multibranch-c063fb97:terminus2:episode-1
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_0111njxfaywtvpz7yphbrpoq
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_0118axxmc6osyfewnhqrjzu9
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_0119itjioexr2khgrzxevjjs
           1.0 (  0.2%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_011bhhv9zdlmsxkhyueapyae
