Type: tokens
Showing nodes accounting for 101921832, 86.89% of 117303194 total
Dropped 676 nodes (cum <= 586515)
      flat  flat%   sum%        cum   cum%
  31502005 26.86% 26.86%   31502005 26.86%  tool:run
   9288653  7.92% 34.77%    9288653  7.92%  tool:sed
   8560997  7.30% 42.07%    8560997  7.30%  tool:grep
   8090423  6.90% 48.97%    8090423  6.90%  tool:edit
   5020584  4.28% 53.25%    5020584  4.28%  tool:other
   3914310  3.34% 56.59%    3914310  3.34%  tool:python3
   3788452  3.23% 59.82%    3788452  3.23%  tool:echo
   3686433  3.14% 62.96%    3686433  3.14%  tool:str_replace_editor
   3130354  2.67% 65.63%    3130354  2.67%  tool:read
   2900193  2.47% 68.10%    2900193  2.47%  tool:cat
   2789184  2.38% 70.48%    2789184  2.38%  tool:ls
   2451740  2.09% 72.57%    2451740  2.09%  tool:pytest
   2306254  1.97% 74.53%    2306254  1.97%  tool:cd
   1895631  1.62% 76.15%    1895631  1.62%  tool:cp
   1741442  1.48% 77.63%    1741442  1.48%  tool:run_ipython
   1464511  1.25% 78.88%    1464511  1.25%  tool:make
   1387223  1.18% 80.06%    1387223  1.18%  tool:node
   1281807  1.09% 81.16%    1281807  1.09%  tool:c-c
   1010282  0.86% 82.02%    1010282  0.86%  tool:rt
    920501  0.78% 82.80%     920501  0.78%  tool:python
    825430   0.7% 83.51%     825430   0.7%  tool:find
    754264  0.64% 84.15%     754264  0.64%  tool:fk
    670249  0.57% 84.72%     670249  0.57%  tool:pip3
    658011  0.56% 85.28%     658011  0.56%  tool:curl
    652799  0.56% 85.84%     652799  0.56%  tool:think
    631592  0.54% 86.38%     631592  0.54%  tool:apt-get
    598508  0.51% 86.89%     598508  0.51%  tool:submit
         0     0% 86.89%   27024922 23.04%  action_kind:edit
         0     0% 86.89%   42167888 35.95%  action_kind:execute
         0     0% 86.89%   21061511 17.95%  action_kind:inspect
         0     0% 86.89%    2827430  2.41%  action_kind:install
         0     0% 86.89%    4999500  4.26%  action_kind:other
         0     0% 86.89%   14705208 12.54%  action_kind:search
         0     0% 86.89%    2953328  2.52%  action_kind:test
         0     0% 86.89%    1563407  1.33%  action_kind:version-control
         0     0% 86.89%   45643640 38.91%  agent:openhands
         0     0% 86.89%   14524081 12.38%  agent:swe-agent
         0     0% 86.89%   57135473 48.71%  agent:terminus2
         0     0% 86.89%    6789260  5.79%  operation:accelerate_the_mujoco_model_without_changing_its_final_state
         0     0% 86.89%    2066357  1.76%  operation:adapt_tokenizer_mapping_for_registered_configs
         0     0% 86.89%    7979061  6.80%  operation:add_per-item_notes_to_reading_lists
         0     0% 86.89%    1532916  1.31%  operation:automatic_navigation_and_form_submission
         0     0% 86.89%    3337615  2.85%  operation:build_a_bootable_root-login_initramfs
         0     0% 86.89%    3197292  2.73%  operation:build_a_competitive_warrior
         0     0% 86.89%    7338894  6.26%  operation:build_and_validate_magsac
         0     0% 86.89%    3244407  2.77%  operation:build_intrusion_detection_and_incident_response_scripts
         0     0% 86.89%    3453042  2.94%  operation:build_magsac_from_source
         0     0% 86.89%    1271122  1.08%  operation:build_opencv_from_source
         0     0% 86.89%    5093349  4.34%  operation:build_parallel_particle_simulators
         0     0% 86.89%    1064350  0.91%  operation:build_rust_and_c++_fibonacci_polyglot
         0     0% 86.89%    4154119  3.54%  operation:bypass_the_html_javascript_filter
         0     0% 86.89%    4383824  3.74%  operation:convert_pcap_packets_into_netflow_v5_files
         0     0% 86.89%     846495  0.72%  operation:correct_missing_rule_counts
         0     0% 86.89%     627699  0.54%  operation:debug_an_opaque_remote_program
