check,passed,detail
core_docs_name_only_two_profiler_abstractions,True,Chinese/English guides plus canonical docs name operation and operation stack as the only profiler abstractions.
field_derivation_precedes_stack_folding,True,Docs and CLI help agree that tagging/mapping derive operation fields before operation-stack folding.
tagging_mapping_not_third_abstraction,True,"Tagging, mapping, and profile specs are described as field derivation/configuration, not profiler objects."
llm_tags_are_field_derivation_assistance,True,"LLM tags are documented as replayable/auxiliary operation-field derivation, not boundary detection or a new abstraction."
clustering_is_exploratory_field_source,True,Clustering is documented as exploratory operation-field proposal material that must be made reproducible before paper use.
trace_session_span_are_containers_or_fields,True,"Trace/session/span wording keeps those objects as containers, fields, or baselines rather than profiler abstractions."
automatic_boundary_and_detector_nonclaims_visible,True,Docs and papers preserve automatic-boundary/detector non-claims.
no_stale_field_derivation_order_or_layer_terms,True,Forbidden stale wording hits={}
paper_structure_remains_three_plus_one,True,Paper and idea story retain three empirical profiling experiments plus one replayability/scope-control block.
r394_registered_in_evaluation_ledger,True,Evaluation ledger records this documentation consistency gate.
english_submodule_clean,True,English paper submodule is clean and the parent gitlink matches it.
source_status_tracked_or_dirty_allowed,True,All guard inputs are tracked or intentionally dirty while this guard is being generated.
