task_id,answer_json
UT01,"{""projected_stack_hash"": ""7d7f790d370420a0"", ""top_semantic"": ""session:refactor/prompt:refactor"", ""top_semantic_weight"": 6004, ""weight"": 12841}"
UT02,"{""no_semantic_mixed_pct"": 90.219, ""no_semantic_residual_pct"": 44.639, ""prompt_only_mixed_pct"": 37.687, ""prompt_only_residual_pct"": 7.526, ""reduction_points"": 52.532}"
UT03,"{""better_axis"": ""prompt"", ""prompt_only_mixed_pct"": 37.687, ""prompt_only_residual_pct"": 7.526, ""session_only_mixed_pct"": 84.18, ""session_only_residual_pct"": 34.138}"
UT04,"{""call"": ""tool/tool"", ""effect"": ""process"", ""prompt"": ""refactor"", ""session"": ""refactor"", ""status"": ""ok"", ""weight"": 6004}"
UT05,"{""effect"": ""read"", ""path"": ""module/x86"", ""process"": ""sed"", ""prompt"": ""refactor"", ""session"": ""refactor"", ""weight"": 1648}"
UT06,"{""baseline_stack"": ""project:agentsight;agent:codex;call:tool/shell;process:cargo;effect:test;status:ok"", ""top_semantic"": ""session:review/prompt:review"", ""top_semantic_weight"": 204, ""weight"": 1420}"
UT07,"{""baseline_stack"": ""project:agentsight;agent:codex;call:tool/shell;process:python3;effect:process;status:ok"", ""top_semantic"": ""session:refactor/prompt:refactor"", ""top_semantic_weight"": 675, ""weight"": 1612}"
UT08,"{""baseline_stack"": ""project:agentsight;agent:codex;call:tool/shell;process:docker;effect:process;status:ok"", ""top_semantic"": ""session:analyze/prompt:analyze"", ""top_semantic_weight"": 1212, ""weight"": 1470}"
UT09,"{""baseline_stack"": ""call:tool/shell;process:git;effect:read;status:ok"", ""top_semantic"": ""session:review/prompt:review"", ""top_semantic_weight"": 696, ""weight"": 4505}"
UT10,"{""kind"": ""estimate"", ""llm_call"": ""llm/refactor"", ""model"": ""codex"", ""prompt"": ""refactor"", ""session"": ""refactor"", ""weight"": 17869111395752}"
UT11,"{""correct_scope"": ""token_navigation"", ""llm_call_system_effect_axis"": false, ""prompt_llm_mixed_bucket_pct"": 95.765, ""prompt_llm_residual_pct"": 0.027}"
UT12,"{""in_scope_effect_events"": 1273, ""joined_effect_events"": 1273, ""negative_effect_events_observed"": 3170, ""negative_joined_effect_events"": 0, ""precision_pct"": 100.0, ""recall_pct"": 100.0}"
UT13,"{""correct_interpretation"": ""out_of_scope_effects_remain_orphaned"", ""out_of_scope_effect_events"": 1329, ""raw_join_pct"": 22.055, ""recall_pct"": 100.0}"
UT14,"{""exact_stable_fragments"": 285, ""fragments"": 300, ""human_adequacy_proven"": false, ""p95_ms"": 31, ""total_runs"": 900, ""valid_runs"": 900}"
