fragment_index,fragment_hash,kind,source,model,text_chars,preview,labeler_1,labeler_2,adjudicated_label,notes
0,b6f14e241ca36d87,session,codex-subagent,gpt-5.5,176,repo Read-only OSDI-style review in $HOME/workspace/agentsight. Do not edit files. Audit current working tree changes around G3/R122/R123 only. Inspect these files: agentflame.,,,,
1,2f81cd25e86cff1a,session,codex,gpt-5.5,124,repo Read docs/visexp/EXPERIMENT_TRACKER.md. Answer exactly one line with the planned R131 result path. Do not modify files.,,,,
2,1e9714568f9b5b9c,session,codex,gpt-5.5,127,repo Read docs/visexp/EXPERIMENT_PLAN.md. Answer exactly one line with the claim ID for developer utility. Do not modify files.,,,,
3,c67147a0af7f802c,session,codex,gpt-5.5,131,repo Read agentflame/README.md. Answer exactly one line with the command subcommand used for model benchmarks. Do not modify files.,,,,
4,c864dc01cf004b03,session,codex,gpt-5.5,104,repo Read docs/visexp/CLAIM_VERDICT.md. Answer exactly one line: c4=<verdict word>. Do not modify files.,,,,
5,49cef6c13b5c6c0d,session,codex,gpt-5.5,121,repo Read docs/visexp/RELATED_WORK_NOTES.md. Answer exactly one line naming the first listed system. Do not modify files.,,,,
6,77d38998ed0f73f3,session,codex,gpt-5.5,113,repo Read docs/visexp/STATE.md. Answer exactly one line with the value after 'Next action:'. Do not modify files.,,,,
7,2f81cd25e86cff1a,session,codex,gpt-5.5,124,repo Read docs/visexp/EXPERIMENT_TRACKER.md. Answer exactly one line with the planned R131 result path. Do not modify files.,,,,
8,5a3d760b786e6207,session,codex,gpt-5.5,139,"repo Using read-only commands, verify docs/visexp/out/model-benchmarks-r121.json parses as JSON. Answer exactly one line: json_ok=<yes|no>.",,,,
9,e72169a93bc158d9,session,codex,gpt-5.5,135,"repo Using read-only commands, count lines mentioning 'span-duration' in docs/visexp. Answer exactly one line: span_duration_lines=<n>.",,,,
10,c864dc01cf004b03,session,codex,gpt-5.5,104,repo Read docs/visexp/CLAIM_VERDICT.md. Answer exactly one line: c4=<verdict word>. Do not modify files.,,,,
11,77d38998ed0f73f3,session,codex,gpt-5.5,113,repo Read docs/visexp/STATE.md. Answer exactly one line with the value after 'Next action:'. Do not modify files.,,,,
12,2f81cd25e86cff1a,session,codex,gpt-5.5,124,repo Read docs/visexp/EXPERIMENT_TRACKER.md. Answer exactly one line with the planned R131 result path. Do not modify files.,,,,
13,1e9714568f9b5b9c,session,codex,gpt-5.5,127,repo Read docs/visexp/EXPERIMENT_PLAN.md. Answer exactly one line with the claim ID for developer utility. Do not modify files.,,,,
14,c67147a0af7f802c,session,codex,gpt-5.5,131,repo Read agentflame/README.md. Answer exactly one line with the command subcommand used for model benchmarks. Do not modify files.,,,,
15,c864dc01cf004b03,session,codex,gpt-5.5,104,repo Read docs/visexp/CLAIM_VERDICT.md. Answer exactly one line: c4=<verdict word>. Do not modify files.,,,,
16,0021fe90f273b89b,session,codex,gpt-5.5,130,repo Read docs/visexp/RESEARCH_PLAN.md. Answer exactly one line naming the paper framing after 'AgentFlame:'. Do not modify files.,,,,
17,2f81cd25e86cff1a,session,codex,gpt-5.5,124,repo Read docs/visexp/EXPERIMENT_TRACKER.md. Answer exactly one line with the planned R131 result path. Do not modify files.,,,,
18,5a3d760b786e6207,session,codex,gpt-5.5,139,"repo Using read-only commands, verify docs/visexp/out/model-benchmarks-r121.json parses as JSON. Answer exactly one line: json_ok=<yes|no>.",,,,
19,e72169a93bc158d9,session,codex,gpt-5.5,135,"repo Using read-only commands, count lines mentioning 'span-duration' in docs/visexp. Answer exactly one line: span_duration_lines=<n>.",,,,
20,77d38998ed0f73f3,session,codex,gpt-5.5,113,repo Read docs/visexp/STATE.md. Answer exactly one line with the value after 'Next action:'. Do not modify files.,,,,
21,be4df403b0c7ac3e,session,codex,gpt-5.5,134,"repo Using read-only commands, count occurrences of 'root_pid_time_window' in docs/visexp. Answer exactly one line: root_pid_refs=<n>.",,,,
22,1e9714568f9b5b9c,session,codex,gpt-5.5,127,repo Read docs/visexp/EXPERIMENT_PLAN.md. Answer exactly one line with the claim ID for developer utility. Do not modify files.,,,,
23,c67147a0af7f802c,session,codex,gpt-5.5,131,repo Read agentflame/README.md. Answer exactly one line with the command subcommand used for model benchmarks. Do not modify files.,,,,
24,49cef6c13b5c6c0d,session,codex,gpt-5.5,121,repo Read docs/visexp/RELATED_WORK_NOTES.md. Answer exactly one line naming the first listed system. Do not modify files.,,,,
25,77d38998ed0f73f3,session,codex,gpt-5.5,113,repo Read docs/visexp/STATE.md. Answer exactly one line with the value after 'Next action:'. Do not modify files.,,,,
26,77d38998ed0f73f3,session,codex,gpt-5.5,113,repo Read docs/visexp/STATE.md. Answer exactly one line with the value after 'Next action:'. Do not modify files.,,,,
27,12da9df6fdff1ff5,session,codex,gpt-5.5,165,"repo Using read-only commands, count lines mentioning 'baseline' in docs/visexp/EXPERIMENT_PLAN.md. Answer exactly one line: baseline_lines=<n>. Do not modify files.",,,,
28,e0a2e8e5ad9a7cd2,session,codex,gpt-5.5,126,repo Read docs/visexp/STATE.md. Answer exactly one line naming the next R113 action after 'Next action:'. Do not modify files.,,,,
29,12da9df6fdff1ff5,session,codex,gpt-5.5,165,"repo Using read-only commands, count lines mentioning 'baseline' in docs/visexp/EXPERIMENT_PLAN.md. Answer exactly one line: baseline_lines=<n>. Do not modify files.",,,,
30,bb9df0809bf19e0f,session,codex,gpt-5.5,130,repo Read docs/visexp/out/capture-time-r113.md. Answer exactly one line: r113_boundary=<implementation|live>. Do not modify files.,,,,
31,79a3ae5b042da2cd,session,codex,gpt-5.5,118,repo Read docs/visexp/CLAIM_VERDICT.md. Answer exactly one line with the current C4 verdict word. Do not modify files.,,,,
32,bb9df0809bf19e0f,session,codex,gpt-5.5,130,repo Read docs/visexp/out/capture-time-r113.md. Answer exactly one line: r113_boundary=<implementation|live>. Do not modify files.,,,,
33,79a3ae5b042da2cd,session,codex,gpt-5.5,118,repo Read docs/visexp/CLAIM_VERDICT.md. Answer exactly one line with the current C4 verdict word. Do not modify files.,,,,
34,952843758c65497f,session,codex-subagent,gpt-5.5,176,"repo You are auditing the artifact/reproducibility side of $HOME/workspace/agentsight. Do not edit files. Focus on docs/visexp/r113_live_record_harness.py, docs/visexp/effect_.",,,,
35,7b8bd2cd6bed837b,session,codex,gpt-5.5,110,repo Read docs/visexp/paper/main.tex and answer exactly one line: mentions_r113=<yes|no>. Do not modify files.,,,,
36,e0a2e8e5ad9a7cd2,session,codex,gpt-5.5,126,repo Read docs/visexp/STATE.md. Answer exactly one line naming the next R113 action after 'Next action:'. Do not modify files.,,,,
37,cf7961d166614941,session,codex-subagent,gpt-5.5,176,repo 只读复审当前仓库 $HOME/workspace/agentsight 的 branch research/semantic-flamegraph-artifacts，HEAD=fab56b6。任务：按 OSDI/SOSP systems paper 标准审查 AgentFlame 当前研究状态是否达到 weak accept。请重点读取.,,,,
38,a53892e1087bc9d1,session,codex-subagent,gpt-5.5,176,"repo You are an OSDI/SOSP PC reviewer. Review the local artifact paper and evidence, but do not edit files. Read these files in $HOME/workspace/agentsight: docs/visexp/paper/m.",,,,
39,be5a0624f27b45eb,session,codex-subagent,gpt-5.5,176,"repo Second-pass OSDI/SOSP review of $HOME/workspace/agentsight/docs/visexp after revisions. This is read-only. Inspect semantic_tag_flamegraph.py, verify_artifacts.py, README.",,,,
40,c0b8391628b8583c,session,codex-subagent,gpt-5.5,520,repo 你是一个严格的 OSDI/SOSP systems reviewer。请审阅这个中文论文草稿：$HOME/workspace/agentsight/docs/design/papers/agentsight-task-grounded-system-effects-osdi-draft.md 背景：AgentSight 已经能精确连接 t. 我已经根据你的 review 修订了草稿，仍在同一路径：$HOME/workspac.,,,,
41,343ebf6f006ed5fb,session,codex,gpt-5.5,315,repo 切换到 main，git pull 审核一下代码，是否混乱？测试一下抓 opencode / claude code ，真的能抓到不仅仅在本地session 里面存的那些吗？测试一下 cl'ude code？ 修？不要静默成功这个先开一个 pr 修 sunagent review 了吗？ review完继续修，代码变更能不能更小一点？最好能净减少？有没有现存什么整体设计不足混乱的，报错这一块？ 去做，剩下的开一个后续的 pr.,,,,
42,6d500eafc8854f6b,session,claude-subagent,claude-fable-5,181,"collector Working directory: $HOME/workspace/agentsight/collector. Goal: reduce production LOC with two mechanical refactors, keeping ALL behavior and output strings byte-identical.",,,,
43,91bd1dbca1c1942c,session,claude-subagent,claude-haiku-4-5-20251001,176,repo Explore the Rust collector in $HOME/workspace/agentsight/collector/src/ (be very thorough). I'm planning a major refactoring to improve maintainability and reduce code si.,,,,
