projection_family,variant,best_for,total_weight,unique_stacks_or_tags,compression_ratio,mixed_weight_pct,mixed_residual_pct,max_semantic_variants_per_bucket,stack_reduction_vs_raw_pct,top20_coverage_pct,review_required_support_pct,unreviewed_active_weight_pct,raw_drilldown_preserved,default_safe,human_gate_needed,interpretation
semantic-axis,no-semantic,system-hotspot baseline,183714,11967,15.352,90.402,44.716,171,,,,0.0,True,False,False,"Most compact process/effect profile, but it collapses many distinct session/prompt regions and is unsafe as the primary semantic view."
semantic-axis,session-only,coarse session cohorting,183714,15027,12.226,84.407,33.434,37,,,,0.0,True,False,False,Useful for coarse session comparison; still mixes prompt-level task regions heavily.
semantic-axis,prompt-only,default system-effect task profile candidate,183714,24703,7.437,36.722,7.485,9,,,,0.0,True,True,False,Best single semantic axis for system effects: large drop in residual mixing with moderate stack growth.
semantic-axis,full,drilldown and audit,183714,26829,6.848,0.0,0.0,1,,,,0.0,True,True,False,Highest-fidelity task profile; preserves session and prompt context but has the largest stack vocabulary.
display-policy,raw,forensic audit,183714,26829,,,,,0.0,,,0.0,True,True,False,"Maximum fidelity and simplest audit story, but exposes all one-word tag fragments in the main view."
display-policy,alias_only,safe default display,183714,26612,,,,,0.809,,,0.0,True,True,False,Safe display cleanup: deterministic aliases reduce stack/tag count while preserving raw drilldown and activating no reviewed-risk merges.
display-policy,profile_guarded_candidate_applied,upper-bound compaction ablation,183714,26067,,,,,2.84,,,2.532,True,False,True,"More aggressive compression, but it would activate unreviewed profile/lexical merges over nonzero effect weight; should remain a hypothetical ablation until labels return."
display-policy,r209_conservative_display,current product display,183714,26612,,,,,0.809,,,0.0,True,True,False,Current default display policy: alias-only active map with profile and regenerated candidates kept pending.
vocabulary,raw-tags,audit and label collection,,1546,,,,,0.0,93.683,1.926,0.0,True,True,False,"Raw labels are immutable and auditable, but the main view has the largest long tail."
vocabulary,canonical-display-overlay,readable default navigation,,1364,,,,,11.772,95.186,1.926,0.0,True,True,True,"Display overlay improves top-20 coverage and reduces unique labels, but profile/regenerated candidates stay pending until human gates pass."
vocabulary,r209-active-map,renderer contract,,,,,,,,,1.926,0.0,True,True,False,"Renderer consumes a complete raw/display map: no hidden other bucket, regenerated labels candidate-only, and raw membership available for drilldown."
