project,worktree_id,event_index,event_id,ts_ms,session_id,status,vendor,action_ordinal,artifact_id,identity_known,path,artifact_class,module,operation,stratum,previous_path,fractional_weight
agentsight,e58fce112c6e,3,c5b9bc57365f5d69,1772761756092,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,0,LICENSE#0,True,LICENSE,paper/docs,repo-root-files,read,read,,1.0
agentsight,e58fce112c6e,5,ee4b2044f374adf4,1772761756264,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,0,bpf/sslsniff.c#0,True,bpf/sslsniff.c,source,bpf,read,read,,0.25
agentsight,e58fce112c6e,5,ee4b2044f374adf4,1772761756264,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,1,collector/src/main.rs#0,True,collector/src/main.rs,source,collector,read,read,,0.25
agentsight,e58fce112c6e,5,ee4b2044f374adf4,1772761756264,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,2,frontend/src/app/page.tsx#0,True,frontend/src/app/page.tsx,source,frontend,read,read,,0.25
agentsight,e58fce112c6e,5,ee4b2044f374adf4,1772761756264,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,3,script/opentelemetry_example.py#0,True,script/opentelemetry_example.py,source,script,read,read,,0.25
agentsight,e58fce112c6e,7,4cb2505cec7cd7ae,1772761794853,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,0,bpf/test_process_filter.c#0,True,bpf/test_process_filter.c,test,bpf,read,read,,1.0
agentsight,e58fce112c6e,8,25d57fade89eee7b,1772761794856,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,0,bpf/test_process_utils.c#0,True,bpf/test_process_utils.c,test,bpf,read,read,,1.0
agentsight,e58fce112c6e,9,c1738ed085049683,1772761795038,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,0,docs/case-study/reasoning-loop-detection/latest_ai_development/src/latest_ai_development/main.py#0,True,docs/case-study/reasoning-loop-detection/latest_ai_development/src/latest_ai_development/main.py,paper/docs,docs,read,read,,0.3333333333333333
agentsight,e58fce112c6e,9,c1738ed085049683,1772761795038,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,1,frontend/next-env.d.ts#0,True,frontend/next-env.d.ts,source,frontend,read,read,,0.3333333333333333
agentsight,e58fce112c6e,9,c1738ed085049683,1772761795038,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,2,frontend/next.config.js#0,True,frontend/next.config.js,source,frontend,read,read,,0.3333333333333333
agentsight,e58fce112c6e,12,b5dadb6a3e9c3b99,1772761858106,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,0,collector/src/main.rs#0,True,collector/src/main.rs,source,collector,read,read,,0.2
agentsight,e58fce112c6e,12,b5dadb6a3e9c3b99,1772761858106,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,1,docs/case-study/reasoning-loop-detection/latest_ai_development/src/latest_ai_development/main.py#0,True,docs/case-study/reasoning-loop-detection/latest_ai_development/src/latest_ai_development/main.py,paper/docs,docs,read,read,,0.2
agentsight,e58fce112c6e,12,b5dadb6a3e9c3b99,1772761858106,codex:019cc0d4-edae-7e81-92e2-239691fed904,ok,codex,2,frontend/next.config.js#0,True,frontend/next.config.js,source,frontend,read,read,,0.2
