task,dataset,query_family,oracle_field,positive_values,unit_depth,unit_kind,claim_role,unit_fields,subtask_eligible,true_subtask_oracle,operations,positive_operations,oracle_units,positive_oracle_units,included_in_accuracy,claim_note
agentreward_looping,agent-reward-bench,failure-looping,looping,yes,session,session,session_anchor,session,False,False,729,504,29,17,True,"trajectory-level failure label; positive-run and turn units are proxy sub-session episodes, not gold intent boundaries"
agentreward_looping,agent-reward-bench,failure-looping,looping,yes,operation,operation,operation_anchor,session; turn; _source_line,True,False,729,504,729,504,True,"trajectory-level failure label; positive-run and turn units are proxy sub-session episodes, not gold intent boundaries"
agentreward_looping,agent-reward-bench,failure-looping,looping,yes,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,session; positive_run; state,True,False,729,504,155,78,True,"trajectory-level failure label; positive-run and turn units are proxy sub-session episodes, not gold intent boundaries"
agentreward_looping,agent-reward-bench,failure-looping,looping,yes,agentreward_turn,turn,middle_unit_proxy,session; turn,False,False,729,504,576,474,True,"trajectory-level failure label; positive-run and turn units are proxy sub-session episodes, not gold intent boundaries"
agentreward_side_effect,agent-reward-bench,failure-side-effect,side_effect,yes,session,session,session_anchor,session,False,False,729,202,29,2,True,"side-effect has few positive sessions, so sub-session proxy metrics are high-variance"
agentreward_side_effect,agent-reward-bench,failure-side-effect,side_effect,yes,operation,operation,operation_anchor,session; turn; _source_line,True,False,729,202,729,202,True,"side-effect has few positive sessions, so sub-session proxy metrics are high-variance"
agentreward_side_effect,agent-reward-bench,failure-side-effect,side_effect,yes,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,session; positive_run; state,True,False,729,202,29,2,True,"side-effect has few positive sessions, so sub-session proxy metrics are high-variance"
agentreward_side_effect,agent-reward-bench,failure-side-effect,side_effect,yes,agentreward_turn,turn,middle_unit_proxy,session; turn,False,False,729,202,576,60,True,"side-effect has few positive sessions, so sub-session proxy metrics are high-variance"
satraj_unsafe,satraj-os-safety,safety,safety,unsafe,session,session,session_anchor,session,False,False,4285,622,250,88,True,safety labels are step/operation-local in the tracked sample
satraj_unsafe,satraj-os-safety,safety,safety,unsafe,operation,operation,operation_anchor,session; step; _source_line,True,True,4285,622,4285,622,True,safety labels are step/operation-local in the tracked sample
satraj_unsafe,satraj-os-safety,safety,safety,unsafe,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,session; positive_run; state,True,False,4285,622,250,88,True,safety labels are step/operation-local in the tracked sample
satraj_unsafe,satraj-os-safety,safety,safety,unsafe,satraj_step,step,operation_equivalent_control,session; step; _source_line,True,False,4285,622,4285,622,True,safety labels are step/operation-local in the tracked sample
agentnet_incorrect_step,agentnet,step-quality,step_correct,incorrect,session,session,session_anchor,session,False,False,14718,874,835,502,True,AgentNet correctness labels are step-local and mostly operation-equivalent
agentnet_incorrect_step,agentnet,step-quality,step_correct,incorrect,operation,operation,operation_anchor,session; step; _source_line,True,True,14718,874,14718,874,True,AgentNet correctness labels are step-local and mostly operation-equivalent
agentnet_incorrect_step,agentnet,step-quality,step_correct,incorrect,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,session; positive_run; state,True,False,14718,874,2524,853,True,AgentNet correctness labels are step-local and mostly operation-equivalent
agentnet_incorrect_step,agentnet,step-quality,step_correct,incorrect,agentnet_step,step,operation_equivalent_control,session; step; _source_line,True,False,14718,874,14718,874,True,AgentNet correctness labels are step-local and mostly operation-equivalent
agentnet_redundant_step,agentnet,step-quality,step_redundant,redundant,session,session,session_anchor,session,False,False,10067,733,549,438,True,AgentNet redundancy labels are step-local and mostly operation-equivalent
agentnet_redundant_step,agentnet,step-quality,step_redundant,redundant,operation,operation,operation_anchor,session; step; _source_line,True,True,10067,733,10067,733,True,AgentNet redundancy labels are step-local and mostly operation-equivalent
agentnet_redundant_step,agentnet,step-quality,step_redundant,redundant,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,session; positive_run; state,True,False,10067,733,1992,727,True,AgentNet redundancy labels are step-local and mostly operation-equivalent
agentnet_redundant_step,agentnet,step-quality,step_redundant,redundant,agentnet_step,step,operation_equivalent_control,session; step; _source_line,True,False,10067,733,10067,733,True,AgentNet redundancy labels are step-local and mostly operation-equivalent
osworld_group_start,osworld-human,human-boundary,group_position,start,session,session,session_anchor,session,False,False,4011,764,320,244,True,OSWorld exact human_group fields are the strongest true subtask/segment oracle; group-start remains a boundary objective
osworld_group_start,osworld-human,human-boundary,group_position,start,operation,operation,operation_anchor,session; step; _source_line,True,True,4011,764,4011,764,True,OSWorld exact human_group fields are the strongest true subtask/segment oracle; group-start remains a boundary objective
osworld_group_start,osworld-human,human-boundary,group_position,start,positive_run,contiguous_target_positive_run,sub_session_episode_proxy,session; positive_run; state,True,False,4011,764,1740,764,True,OSWorld exact human_group fields are the strongest true subtask/segment oracle; group-start remains a boundary objective
osworld_group_start,osworld-human,human-boundary,group_position,start,osworld_human_group,human_group,true_subtask_segment,session; human_group,True,True,4011,764,2075,764,True,OSWorld exact human_group fields are the strongest true subtask/segment oracle; group-start remains a boundary objective
scalecua_history_depth,scalecua-navigation,context-history,history_depth,,history_context,history_context,context_only,session; history_depth; history_state,False,False,5000,0,2227,0,False,"ScaleCUA history_depth is context/provenance in this tracked sample, not a problem oracle."
