rank,process,total_weight,top_prompt,top_prompt_weight,top_prompt_share_pct,distinct_prompt_tags,ambiguous_weight,ambiguous_share_pct,top_prompt_splits
1,rg,33959,refactor,14677,43.22,176,19282,56.78,refactor=14677; review=7176; design=3077; analyze=1068; test=975; benchmark=829; research=716; docs=585; designcodex=376; debug=354; trace=274; explain=218
2,sed,30810,refactor,13638,44.265,180,17172,55.735,refactor=13638; review=5012; design=2942; test=1225; analyze=1154; benchmark=1008; research=937; docs=496; debug=295; trace=286; commitlog=265; ignored=254
3,tool:tool,22996,refactor,11579,50.352,102,11417,49.648,refactor=11579; design=2572; review=2176; analyze=1683; test=1189; benchmark=994; debug=314; research=246; docs=228; ignored=206; validate=137; compare=121
4,git,18592,refactor,5966,32.089,147,12626,67.911,refactor=5966; review=4067; design=999; test=892; analyze=834; research=703; docs=432; explain=373; commit=280; testcodex=248; trace=207; ignored=202
5,find,7818,refactor,2863,36.621,131,4955,63.379,refactor=2863; review=1347; design=794; analyze=636; test=361; research=209; benchmark=159; designcodex=118; docs=99; build=60; explore=48; explain=44
6,nl,7439,review,2959,39.777,75,4480,60.223,review=2959; refactor=2517; design=326; docs=208; test=138; research=120; benchmark=112; reviewbu=110; designfix=98; analyze=78; codex=78; debug=49
7,python3,6419,refactor,2564,39.944,88,3855,60.056,refactor=2564; analyze=1175; review=554; test=310; research=252; design=248; docs=138; ignored=109; commitlog=94; debug=80; eval=60; benchmark=53
8,cargo,5297,refactor,1818,34.321,68,3479,65.679,refactor=1818; review=860; research=366; design=306; commitlog=258; test=198; analyze=194; explain=188; designcodex=162; benchmark=105; trace=68; commit=44
9,tool:plan,3779,refactor,1698,44.933,77,2081,55.067,refactor=1698; review=606; design=322; research=166; analyze=146; test=124; benchmark=95; explain=82; commitlog=52; docs=49; trace=41; debug=34
10,tool:read,3208,refactor,1726,53.803,30,1482,46.197,refactor=1726; review=579; test=207; design=124; docs=106; listfiles=52; workspace=48; build=43; lint=42; explore=40; cli=40; setup=38
11,make,2714,refactor,1007,37.104,32,1707,62.896,refactor=1007; review=881; design=432; benchmark=93; test=47; research=41; ignored=29; debug=28; explain=20; validate=17; docs=16; maintain=13
12,grep,2411,refactor,1474,61.136,30,937,38.864,refactor=1474; review=477; test=104; docs=62; design=46; workspace=33; explore=32; verify=30; build=28; readcmd=22; cli=20; query=16
13,wc,2352,refactor,1096,46.599,54,1256,53.401,refactor=1096; review=596; design=70; docx=64; test=56; codexcheck=54; research=48; docs=42; codexinteg=36; designcodex=34; benchmark=32; analyze=21
14,tail,2298,analyze,997,43.386,32,1301,56.614,analyze=997; refactor=414; design=348; test=213; docs=78; review=76; benchmark=58; compare=30; capture=15; research=11; explain=10; trace=7
15,ls,2057,refactor,805,39.135,95,1252,60.865,refactor=805; review=267; design=213; test=128; analyze=108; docs=74; benchmark=57; research=43; debug=18; trace=17; testcodex=15; listsrc=14
16,jq,2042,refactor,707,34.623,30,1335,65.377,refactor=707; review=526; analyze=252; test=193; design=89; research=53; benchmark=43; compare=39; backup=20; docs=19; evaluate=16; debug=13
