check,status,actual,expected,source,evidence
r357_four_current_reviewers_accept,pass,4,4,REVIEW_EVENTS,All four current reviewers returned ACCEPT.
r357_no_current_reviewer_blockers,pass,0,0,REVIEW_EVENTS,Current reviewer closure has zero blocking issues.
r357_non_blocking_notes_recorded,pass,3,3,REVIEW_EVENTS,"Three non-blocking notes are recorded as traceability/provenance polish, not claim blockers."
r356_report_overall_pass_no_warnings,pass,"{""blocking"": [], ""overall"": ""pass"", ""warnings"": []}","{""blocking"": [], ""overall"": ""pass"", ""warnings"": []}",r356_report,R356 passes with no blockers or warnings.
r356_run_overall_pass_no_warnings,pass,"{""blocking"": [], ""overall"": ""pass"", ""warnings"": []}","{""blocking"": [], ""overall"": ""pass"", ""warnings"": []}",r356_run,R356 passes with no blockers or warnings.
r356_number_text_guardrail_counts_pass,pass,"{""base_r338_overall"": ""pass"", ""blocking"": [], ""guardrail_checks_passed"": 54, ""guardrail_checks_total"": 54, ""guardrails"": ""pass"", ""network_access_required"": false, ""number_checks_passed"": 69, ""number_checks_total"": 69, ""overall"": ""pass"", ""paper_sources_hashed"": 6, ""paper_text_coverage"": ""pass"", ""profiler_abstractions"": [""operation"", ""operation stack""], ""r354_r355_result_invariants"": ""pass"", ""source_artifacts_tracked_clean"": true, ""text_checks_passed"": 18, ""text_checks_total"": 18, ""two_abstraction_boundary"": ""pass"", ""warnings"": []}","69/69, 18/18, 54/54",claim-integrity-r356-report.json,"R356 passes 69/69 number checks, 18/18 text checks, and 54/54 guardrail checks."
r356_csv_rows_all_pass,pass,"{""abstractions"": ""24/24"", ""guardrails"": ""54/54"", ""numbers"": ""69/69"", ""text"": ""18/18""}",all pass,R356 CSV outputs,R356 CSV outputs parse cleanly and all rows pass.
r356_two_abstraction_and_source_gate,pass,"{""base_r338_overall"": ""pass"", ""blocking"": [], ""guardrail_checks_passed"": 54, ""guardrail_checks_total"": 54, ""guardrails"": ""pass"", ""network_access_required"": false, ""number_checks_passed"": 69, ""number_checks_total"": 69, ""overall"": ""pass"", ""paper_sources_hashed"": 6, ""paper_text_coverage"": ""pass"", ""profiler_abstractions"": [""operation"", ""operation stack""], ""r354_r355_result_invariants"": ""pass"", ""source_artifacts_tracked_clean"": true, ""text_checks_passed"": 18, ""text_checks_total"": 18, ""two_abstraction_boundary"": ""pass"", ""warnings"": []}","tracked clean, network false, operation/operation stack",claim-integrity-r356-report.json,"R356 confirms tracked-clean sources, no network requirement, and only operation plus operation stack abstractions."
r354_profile_patch_actionability_supported,pass,"{""accepted_patches"": ""5/6"", ""ap_improved_tasks"": ""5/6"", ""first_positive_work_improved_tasks"": ""5/6"", ""groups_reduced_tasks"": ""2/6"", ""median_delta_ap"": 0.0376, ""median_delta_first_positive_work"": -0.0859, ""median_delta_top5_lift"": 0.575, ""median_group_reduction"": 0.0, ""rejected_or_needs_mapping"": ""1/6"", ""top5_lift_improved_tasks"": ""5/6""}","5/6 accepted, 1/6 rejected, 0.0376 AP, 0.5750 lift, -0.0859 WTFP",profile-patch-report.json,R354 supports executable profile-spec actionability with 5/6 accepted patches and the accepted AP/lift/work deltas.
r354_nonclaims_preserved,pass,"[""This is not a human or agent analyst study."", ""This is not an automatic label-free patch selector."", ""Rejected patches remain evidence of where a new mapping or boundary backend is needed."", ""The only profiler objects are operations and operation stacks; profile specs are reproducibility wrappers.""]","human/agent analyst false, auto patch selector false, two abstractions",profile-patch-report.json,"R354 non-claims rule out human utility, automatic patch selection, and extra profiler abstractions."
