dimension,active_display_tag,raw_tag_count,support,raw_support_pct,review_required_rows,review_required_support,review_required_support_pct,long_tail_rows,long_tail_support,candidate_rows,active_merge_rows,raw_tags,governance_actions,top_processes,top_effects,top_paths,top_context_tags
session,refactor,1,89914,18.639,0,0,0.0,0,0,0,0,refactor=89914,keep_head=1,tool/tool=17836; sed=17136; rg=17101; git=5472; find=3754; python3=3500,read=51684; process=35599; test=1312; write=1031; repo=218; network=70,none=25929; native-sim=8468; micro=7396; vendor=5942; runner=4852; module=4838,refactor=59137; design=9807; review=5661; benchmark=3990; test=3436; analyze=1226
prompt,refactor,1,73162,15.166,0,0,0.0,0,0,0,0,refactor=73162,keep_head=1,rg=14677; sed=13638; tool/tool=11579; git=5966; find=2863; python3=2564,read=44255; process=25782; test=1922; write=777; repo=319; network=107,none=19057; collector/src=8399; micro=5948; native-sim=4399; module=4211; runner=3695,refactor=59804; review=6656; design=3636; research=2171; test=999; branding=201
llm,refactor,1,41263,8.554,0,0,0.0,0,0,0,0,refactor=41263,keep_head=1,,,,refactor=18703601454726; benchmark=3022923252979; test=1576962068731; design=1571913627659; debug=365729985299; analyze=339497241823
prompt,review,1,33267,6.896,0,0,0.0,0,0,0,0,review=33267,keep_head=1,rg=7176; sed=5012; git=4067; nl=2959; tool/tool=2176; find=1347,read=22551; process=9139; test=1029; write=214; network=169; repo=165,collector/src=6679; none=6656; docs/paper=1396; docs/visexp=1157; bpf=1039; native-sim=796,review=14542; design=11146; refactor=5689; research=792; analyze=358; refactorchk=289
session,review,1,29164,6.046,0,0,0.0,0,0,0,0,review=29164,keep_head=1,rg=5715; git=4767; sed=3451; nl=2226; cd=1227; cargo=1209,read=18997; process=7942; test=1110; network=464; repo=378; write=273,collector/src=9937; none=5158; bpf=1481; frontend/src=1336; docs/visexp=1106; collector/target=696,review=14221; refactor=6534; test=1808; docs=959; trace=671; merge=472
session,design,1,25434,5.272,0,0,0.0,0,0,0,0,design=25434,keep_head=1,rg=5976; sed=4984; git=3224; nl=1446; find=1424; tool/tool=1140,read=17928; process=5958; test=1192; repo=204; write=88; network=64,none=5084; collector/src=4306; docs/paper=1564; docs/design=1100; results=1048; mk=934,review=11109; design=4382; refactor=3592; test=1268; designcodex=1074; research=509
llm,analyze,2,18713,3.879,0,0,0.0,1,1,0,1,analyze=18712; rqanalyze=1,keep_head=1; auto_canonicalize_existing=1,,,,analyze=2023768216390; design=171634464620; tag=89788483023; analyzesess=55370639115; review=19357209899; branching=13479812106; docs=37
prompt,design,2,16109,3.339,0,0,0.0,0,0,0,1,design=15705; designfix=404,keep_head=1; auto_canonicalize_existing=1,rg=3257; sed=2942; tool/tool=2572; git=1015; find=836; make=432; nl=98; cargo=28,read=9240; process=6289; test=350; repo=122; write=84; network=24,none=4034; vendor=1862; native-sim=1658; collector/src=1053; corpus=992; tmp=628; collector/tests=54; collector/cargo.toml=28,refactor=9815; design=4832; analyze=880; review=303; test=281; uxdesign=55
session,analyze,1,12433,2.577,0,0,0.0,0,0,0,0,analyze=12433,keep_head=1,tool/tool=1647; python3=1334; docker=1326; sed=1212; rg=1189; git=1093,process=6108; read=5513; write=354; repo=208; test=143; network=107,none=4936; docs/visexp=3208; task-runs=632; collector/src=412; tmp=247; /=197,analyze=10005; design=847; review=343; tag=259; analyzesess=179; docs=132
session,research,1,11891,2.465,0,0,0.0,0,0,0,0,research=11891,keep_head=1,sed=2009; git=1936; rg=1856; cargo=1320; tool/tool=740; python3=570,read=6800; process=3478; test=1190; repo=311; write=102; network=10,none=3665; crates=1670; bpfopt=908; bpfix-bench=842; docs/tmp=608; runner=474,research=4034; refactor=2162; commitlog=1361; explain=1207; review=776; test=717
