metric,metric_label,eligible_cells,mean,sd,cv,cv_cell_bootstrap_ci95_low,cv_cell_bootstrap_ci95_high,direction_contrast_available,modal_direction,direction_consistency,leave_one_cell_out_invariant_stability,eligible_projects,eligible_vendors,complete_claude_codex_pairs,paired_grid_complete,project_rank_spearman,vendor_direction_consistency,median_codex_minus_claude,project_ss_share,vendor_ss_share,interaction_ss_share,leave_one_project_out_shape_stability,external_status,classification,evidence_sufficiency,classification_status,evidence
artifact_reuse_access_share,Stable-identity access reuse,8,0.8795739706082351,0.06678840956326199,0.0759326808148689,0.015369185143777676,0.10848558333571194,False,0,0.0,0.0,5,2,3,True,1.0,1.0,-0.06793358388118009,0.3061132786027246,0.547519567291623,0.14636715410565246,0.3333333333333333,N/A,idiosyncratic,sufficient,classified,"eligible=8, CV=0.076, direction=0.00, external=N/A"
top10_session_call_share,Top-10% session call concentration,8,0.6577294622083493,0.1651806863014809,0.25113773335754347,0.1281076430012779,0.30742895232469725,False,0,0.0,0.0,5,2,3,True,0.5,0.6666666666666666,0.17627269815333224,0.5718282531988262,0.18814469709725073,0.24002704970392305,0.3333333333333333,descriptive_magnitude,idiosyncratic,sufficient,classified,"eligible=8, CV=0.251, direction=0.00, external=descriptive_magnitude"
path_locality_share,Within-session path locality,8,0.8811366494957642,0.07791510367399829,0.08842567576616599,0.047991088619989505,0.11082935317305007,True,1,1.0,1.0,5,2,3,True,0.5,1.0,-0.08578005144896306,0.43953044379927375,0.4614907900712279,0.09897876612949841,0.3333333333333333,replicated_direction,invariant-candidate,sufficient,classified,"CV=0.088, direction=1.00, external=replicated_direction"
same_prompt_repeat_read_share,Same-prompt repeated identity reads,8,0.29044856120464657,0.1777778582360575,0.6120803542586577,0.2976249192407443,0.8816993306807362,False,0,0.0,0.0,5,2,3,True,0.5,1.0,0.1898257332329133,0.42749625257652774,0.5426237624508964,0.02987998497257588,0.6666666666666666,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.54, vendor sign=1.00, project SS=0.43"
shell_share,Shell tool share,8,0.5043869416800756,0.19438546013891767,0.3853895572542661,0.2186147731535415,0.4498805374187907,False,0,0.0,0.0,5,2,3,True,0.5,1.0,0.29292284119579826,0.13126564254323095,0.8331092186670561,0.03562513878971289,1.0,harness-shaped,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.83, vendor sign=1.00, project SS=0.13"
shell_shell_bigram_share,Shell→shell bigram share,8,0.40523939972808604,0.17018914983596298,0.41997187329306873,0.22849446056986913,0.5079241442680575,True,1,1.0,0.0,5,2,3,True,0.5,1.0,0.28381716821581,0.16694196889979782,0.7907163924571511,0.04234163864305118,1.0,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.79, vendor sign=1.00, project SS=0.17"
zero_decisive_validation_session_share,Sessions with zero decisive validation,8,0.7104655130953033,0.13607849611734305,0.191534273809416,0.09684164958374487,0.23556687558293585,False,0,0.0,0.0,5,2,3,True,-0.5,0.6666666666666666,-0.17720988688730632,0.3616084025103576,0.1555904343151346,0.4828011631745078,0.6666666666666666,N/A,idiosyncratic,sufficient,classified,"eligible=8, CV=0.192, direction=0.00, external=N/A"
startup_extended_excess_median,Startup extended-proxy excess (first 10 − calls 11–20),7,0.035714285714285705,0.04755948656056709,1.3316656236958788,0.5879447357921316,2.6457513110645907,True,1,0.42857142857142855,0.0,4,2,3,True,-0.8660254037844387,0.6666666666666666,0.04999999999999993,0.06896551724137952,0.034482758620689585,0.8965517241379309,0.6666666666666666,N/A,idiosyncratic,sufficient,classified,"eligible=7, CV=1.332, direction=0.43, external=N/A"
late_reread_delta_median,Late-minus-early reread share (median),5,0.21602420004703124,0.04992210793171226,0.23109497880720575,0.10615526492502007,0.2994095123160856,True,1,1.0,1.0,3,2,2,False,,,,,,,,undercovered,idiosyncratic,limited,insufficient-for-six-cell-rule,"eligible=5, CV=0.231, direction=1.00, external=undercovered"
dormant_revival_transition_share,Dormant revival among repeat touches,8,0.1892423116065186,0.11261979648606471,0.5951089665414203,0.29333967023150864,0.8234095559688341,False,0,0.0,0.0,5,2,3,True,0.5,1.0,0.1494972025083549,0.197421165674732,0.7450475100628117,0.05753132426245626,1.0,N/A,vendor-shaped,limited,descriptive-3x2-paired-grid,"paired vendor SS=0.75, vendor sign=1.00, project SS=0.20"
