id,project,family,template,method,repetition,status,answer,expected,original_frozen_expected,correct,wrong,scoreable,cell_terminal_status,question_spec_sha256
agentsight-A1,agentsight,A,A1,raw_model,1,answer,113,97,81,0,1,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A2,agentsight,A,A2,raw_model,1,answer,6,6,19,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A3,agentsight,A,A3,raw_model,1,answer,11,13,13,0,1,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A4,agentsight,A,A4,raw_model,1,answer,1,1,1,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-A5,agentsight,A,A5,raw_model,1,answer,1,1,1,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B1,agentsight,B,B1,raw_model,1,answer,22,21,21,0,1,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B2,agentsight,B,B2,raw_model,1,answer,18,17,17,0,1,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B3,agentsight,B,B3,raw_model,1,answer,4,4,4,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B4,agentsight,B,B4,raw_model,1,answer,read,read,read,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-B5,agentsight,B,B5,raw_model,1,answer,1,1,1,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-C1,agentsight,C,C1,raw_model,1,answer,1,1,1,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-C2,agentsight,C,C2,raw_model,1,answer,1,1,1,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-C3,agentsight,C,C3,raw_model,1,answer,0,0,0,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-C4,agentsight,C,C4,raw_model,1,answer,0,0,0,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-C5,agentsight,C,C5,raw_model,1,answer,2,2,2,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
agentsight-D1,agentsight,D,D1,raw_model,1,answer,tracked,tracked,tracked,1,0,1,complete,484d1c9af3b07511d2c0892166110387642d889f88b80bfc6927a7dc324de83e
