stratum_type,project,vendor,tool_family,calls,share,ok,fail,observed,decisive_failure_rate,observed_share
overall,ALL,ALL,coordination,6538,0.03606117935169302,12,99,6427,0.8918918918918919,0.9830223309880698
overall,ALL,ALL,edit,17800,0.09817818789540161,7997,366,9437,0.04376419944995815,0.5301685393258427
overall,ALL,ALL,fetch,1265,0.006977270094813654,1210,42,13,0.03354632587859425,0.010276679841897233
overall,ALL,ALL,multimodal,148,0.0008163130229505303,34,3,111,0.08108108108108109,0.75
overall,ALL,ALL,network/other,23,0.00012685945626933918,23,0,0,0.0,0.0
overall,ALL,ALL,other,108,0.0005956878816125491,72,23,13,0.24210526315789474,0.12037037037037036
overall,ALL,ALL,plan/goal,1565,0.008631958654848513,9,6,1550,0.4,0.9904153354632588
overall,ALL,ALL,read,9001,0.049646172429579215,8892,102,7,0.01134089392928619,0.0007776913676258194
overall,ALL,ALL,search,1957,0.01079408503996073,1943,5,9,0.002566735112936345,0.004598875830352581
overall,ALL,ALL,shell,124342,0.6858242831061814,114308,3798,6236,0.03215755338424805,0.050152000128677356
overall,ALL,ALL,skill,76,0.0004191877685421642,75,1,0,0.013157894736842105,0.0
overall,ALL,ALL,task,1592,0.00878088062525165,754,14,824,0.018229166666666668,0.5175879396984925
overall,ALL,ALL,tool discovery,313,0.0017263917309697026,313,0,0,0.0,0.0
overall,ALL,ALL,wait/control,15908,0.08774261871011511,5721,711,9476,0.11054104477611941,0.5956751320090521
overall,ALL,ALL,write,667,0.003678924231810836,651,15,1,0.02252252252252252,0.0014992503748125937
vendor,ALL,claude,coordination,15,0.0004073209145712268,12,3,0,0.2,0.0
vendor,ALL,claude,edit,8349,0.22671482105034488,7997,350,2,0.041931232778243684,0.00023954964666427118
vendor,ALL,claude,fetch,1253,0.034024873730516485,1210,38,5,0.030448717948717948,0.0039904229848363925
vendor,ALL,claude,multimodal,35,0.0009504154673328626,34,1,0,0.02857142857142857,0.0
vendor,ALL,claude,network/other,23,0.0006245587356758812,23,0,0,0.0,0.0
vendor,ALL,claude,other,71,0.0019279856623038072,69,2,0,0.028169014084507043,0.0
vendor,ALL,claude,plan/goal,15,0.0004073209145712268,9,6,0,0.4,0.0
vendor,ALL,claude,read,8980,0.24384945418997447,8871,102,7,0.011367435640254095,0.0007795100222717149
vendor,ALL,claude,search,1943,0.05276163580079292,1929,5,9,0.0025853154084798345,0.004632012352032939
vendor,ALL,claude,shell,14303,0.38839406940748383,13794,507,2,0.035452066289070695,0.0001398308047262812
vendor,ALL,claude,skill,76,0.002063759300494216,75,1,0,0.013157894736842105,0.0
vendor,ALL,claude,task,778,0.021126378102427634,754,14,10,0.018229166666666668,0.012853470437017995
vendor,ALL,claude,tool discovery,313,0.0084994297507196,313,0,0,0.0,0.0
vendor,ALL,claude,wait/control,9,0.0002443925487427361,8,1,0,0.1111111111111111,0.0
vendor,ALL,claude,write,663,0.018003584424048227,647,15,1,0.022658610271903322,0.0015082956259426848
vendor,ALL,codex,coordination,6523,0.045162809053332684,0,96,6427,1.0,0.9852828453165722
vendor,ALL,codex,edit,9451,0.0654351844800011,0,16,9435,1.0,0.9983070574542376
vendor,ALL,codex,fetch,12,8.308350584700173e-05,0,4,8,1.0,0.6666666666666666
vendor,ALL,codex,multimodal,113,0.0007823696800592663,0,2,111,1.0,0.9823008849557522
vendor,ALL,codex,other,34,0.0002354032665665049,0,21,13,1.0,0.38235294117647056
vendor,ALL,codex,plan/goal,1550,0.010731619505237723,0,0,1550,,1.0
vendor,ALL,codex,shell,110037,0.761854977740544,100514,3289,6234,0.03168501873741607,0.056653671037923604
vendor,ALL,codex,task,814,0.005635831146621617,0,0,814,,1.0
vendor,ALL,codex,wait/control,15899,0.11007872162179004,5713,710,9476,0.11054024599096995,0.5960123278193598
vendor,ALL,gemini,other,3,0.06818181818181818,3,0,0,0.0,0.0
vendor,ALL,gemini,read,21,0.4772727272727273,21,0,0,0.0,0.0
vendor,ALL,gemini,search,14,0.3181818181818182,14,0,0,0.0,0.0
vendor,ALL,gemini,shell,2,0.045454545454545456,0,2,0,1.0,0.0
vendor,ALL,gemini,write,4,0.09090909090909091,4,0,0,0.0,0.0
project,ActPlane,ALL,coordination,291,0.004393248588423563,0,6,285,1.0,0.979381443298969
