stratum_type,project,vendor,command_name,calls,share_of_shell_calls
overall,ALL,ALL,"
#",1,8.042334850653843e-06
overall,ALL,ALL,"
git",3,2.4127004551961524e-05
overall,ALL,ALL,"
sed",2,1.6084669701307685e-05
overall,ALL,ALL,!,1,8.042334850653843e-06
overall,ALL,ALL,#,362,0.0029113252159366906
overall,ALL,ALL,$(date,5,4.021167425326921e-05
overall,ALL,ALL,(cd,1,8.042334850653843e-06
overall,ALL,ALL,(make,1,8.042334850653843e-06
overall,ALL,ALL,(perf,1,8.042334850653843e-06
overall,ALL,ALL,(printf,2,1.6084669701307685e-05
overall,ALL,ALL,(sleep,1,8.042334850653843e-06
overall,ALL,ALL,(source,2,1.6084669701307685e-05
overall,ALL,ALL,--kill-after=5s,1,8.042334850653843e-06
overall,ALL,ALL,--signal=INT,9,7.238101365588458e-05
overall,ALL,ALL,-E,45,0.0003619050682794229
overall,ALL,ALL,//,122,0.0009811648517797688
overall,ALL,ALL,00-benchmark-aws_lazy_validator_001;,3,2.4127004551961524e-05
overall,ALL,ALL,00-md-course-builder-code-style;,1,8.042334850653843e-06
overall,ALL,ALL,002-experiment-plan-20260713T173132-0700.md;,1,8.042334850653843e-06
overall,ALL,ALL,0035f455b3ff2295167a844f04d85d34.json;,1,8.042334850653843e-06
overall,ALL,ALL,01-experiment-gate;,2,1.6084669701307685e-05
overall,ALL,ALL,03-review-gate;,3,2.4127004551961524e-05
overall,ALL,ALL,1.1,1,8.042334850653843e-06
overall,ALL,ALL,10,5,4.021167425326921e-05
overall,ALL,ALL,100-blind-full-paper-read-and-attack-map.md,1,8.042334850653843e-06
overall,ALL,ALL,10s,1,8.042334850653843e-06
overall,ALL,ALL,12,5,4.021167425326921e-05
overall,ALL,ALL,120,1,8.042334850653843e-06
overall,ALL,ALL,120s,6,4.825400910392305e-05
overall,ALL,ALL,127.0.0.1:3000,1,8.042334850653843e-06
overall,ALL,ALL,127.0.0.1:3001,8,6.433867880523074e-05
overall,ALL,ALL,127.0.0.1:39231,7,5.6296343954576895e-05
overall,ALL,ALL,127.0.0.1:46102,1,8.042334850653843e-06
overall,ALL,ALL,127.0.0.1:46370,2,1.6084669701307685e-05
overall,ALL,ALL,12s,2,1.6084669701307685e-05
overall,ALL,ALL,15,6,4.825400910392305e-05
overall,ALL,ALL,150s,1,8.042334850653843e-06
overall,ALL,ALL,15s,3,2.4127004551961524e-05
overall,ALL,ALL,180,1,8.042334850653843e-06
overall,ALL,ALL,1800,2,1.6084669701307685e-05
overall,ALL,ALL,180s,28,0.00022518537581830758
overall,ALL,ALL,18s,2,1.6084669701307685e-05
overall,ALL,ALL,2,4,3.216933940261537e-05
overall,ALL,ALL,20,10,8.042334850653842e-05
overall,ALL,ALL,20260605T_hostcow_dnsfix_llama20,1,8.042334850653843e-06
overall,ALL,ALL,20260605T_hostcow_llama20,1,8.042334850653843e-06
overall,ALL,ALL,20s,22,0.00017693136671438452
overall,ALL,ALL,240s,9,7.238101365588458e-05
overall,ALL,ALL,25s,11,8.846568335719226e-05
overall,ALL,ALL,27b,2,1.6084669701307685e-05
overall,ALL,ALL,2s,3,2.4127004551961524e-05
overall,ALL,ALL,3,2,1.6084669701307685e-05
overall,ALL,ALL,30,21,0.00016888903186373068
overall,ALL,ALL,300,2,1.6084669701307685e-05
overall,ALL,ALL,300s,2,1.6084669701307685e-05
overall,ALL,ALL,30s,10,8.042334850653842e-05
overall,ALL,ALL,3865;,1,8.042334850653843e-06
overall,ALL,ALL,3s,10,8.042334850653842e-05
overall,ALL,ALL,420s,5,4.021167425326921e-05
overall,ALL,ALL,45,1,8.042334850653843e-06
overall,ALL,ALL,45s,6,4.825400910392305e-05
overall,ALL,ALL,4s,4,3.216933940261537e-05
overall,ALL,ALL,5,20,0.00016084669701307684
overall,ALL,ALL,570,5,4.021167425326921e-05
overall,ALL,ALL,5s,14,0.00011259268790915379
overall,ALL,ALL,60,3,2.4127004551961524e-05
overall,ALL,ALL,600s,7,5.6296343954576895e-05
overall,ALL,ALL,60s,21,0.00016888903186373068
overall,ALL,ALL,6s,17,0.00013671969246111532
overall,ALL,ALL,700s,2,1.6084669701307685e-05
overall,ALL,ALL,8,3,2.4127004551961524e-05
overall,ALL,ALL,80s,1,8.042334850653843e-06
overall,ALL,ALL,8s,1,8.042334850653843e-06
overall,ALL,ALL,900s,8,6.433867880523074e-05
overall,ALL,ALL,90s,11,8.846568335719226e-05
overall,ALL,ALL,990-independent-outer-audit-20260713T105435-0700.md,1,8.042334850653843e-06
overall,ALL,ALL,990-independent-outer-audit-20260713T112434-0700.md;,1,8.042334850653843e-06
overall,ALL,ALL,ACTPLANE_FORCE_TRACEPOINT=1,3,2.4127004551961524e-05
overall,ALL,ALL,ACTPLANE_KVM_TIMEOUT=120,1,8.042334850653843e-06
overall,ALL,ALL,ACTPLANE_KVM_TIMEOUT=150,16,0.00012867735761046148
overall,ALL,ALL,ACTPLANE_KVM_TIMEOUT=180,5,4.021167425326921e-05
overall,ALL,ALL,ACTPLANE_KVM_TIMEOUT=240,1,8.042334850653843e-06
overall,ALL,ALL,ACTPLANE_KVM_TIMEOUT=60,1,8.042334850653843e-06
overall,ALL,ALL,ACTPLANE_POLICY_BENCH_ROUNDS=50,1,8.042334850653843e-06
