project,vendor,session_id,source_file,source_role_rule,readable,parsed,bytes,sha256,parse_error,native_source_kind,native_source_app,human_bearing_source
ActPlane,claude,claude:029626e5-7e67-4ba3-a1a0-7255de9d6169,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/029626e5-7e67-4ba3-a1a0-7255de9d6169.jsonl,root,True,True,2489948,4d8208e742806e5967753d4f3bcf09131fdfd7c00436de04b2e85fd52a45b8ce,,unknown,unknown,True
ActPlane,claude,claude:04ca59d2-9389-4832-9d65-692027b16da3,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/04ca59d2-9389-4832-9d65-692027b16da3.jsonl,root,True,True,16840192,5b0b742acbfeff7e58daa013ede434e4c3387ddf202af7f3779e5fb8143982f1,,unknown,unknown,True
ActPlane,claude,claude:05f051df-f61c-4935-8da8-71a0965bc3dc,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/05f051df-f61c-4935-8da8-71a0965bc3dc.jsonl,root,True,True,388550,059f40b4bc2e732583c4ba868ed01eeee541848ce7b92ea88c1ce5ce2d97edef,,unknown,unknown,True
ActPlane,claude,claude:0c5b2a39-44f8-4ab8-a856-5a35821f9403,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/0c5b2a39-44f8-4ab8-a856-5a35821f9403.jsonl,root,True,True,154290,d0ec1e20ddc3b2e38a170cf8e02fd7372c4e894142c45e631c099dac7c521dc5,,unknown,unknown,True
ActPlane,claude,claude:0ccecb8d-f285-4ec8-9322-f80a3ca25226,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/0ccecb8d-f285-4ec8-9322-f80a3ca25226.jsonl,root,True,True,678527,2135bcd68092a1ad9db75ff05eb305ddc35b4918ee11a67487bea63bef1539b8,,unknown,unknown,True
ActPlane,claude,claude:0ee9082c-0794-444d-8dba-022dcfb5f370,/home/yunwei37/.claude/projects/-home-yunwei37-workspace/0ee9082c-0794-444d-8dba-022dcfb5f370.jsonl,root,True,True,3761966,a0c559a0e61abbcf7c44bd9fec2a349cf12ac15fc2dded236fdbf8ab6f160e3f,,unknown,unknown,True
ActPlane,claude,claude:1206cca6-d292-4d81-b609-57ee8382c2c0,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/1206cca6-d292-4d81-b609-57ee8382c2c0.jsonl,root,True,True,5409288,1e5ca2bc2e269fc3ede968db214d1a044257b8b83519f43352039bce6fab7af6,,unknown,unknown,True
ActPlane,claude,claude:12383b64-0b12-42b5-a80e-2a5dc3f38910,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/12383b64-0b12-42b5-a80e-2a5dc3f38910.jsonl,root,True,True,61679,3ba7f7d203bf0b7baff4a457eea59d3fea277ef1ae4cfd5b172454cdd4e243a7,,unknown,unknown,True
ActPlane,claude,claude:18531398-00eb-4bb8-816f-6995a2fc07ed,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/18531398-00eb-4bb8-816f-6995a2fc07ed.jsonl,root,True,True,855470,784047f4ea7d3082dc86a61e1730422d48e1b1f38ef85fe715ac18b789f9e9bc,,unknown,unknown,True
ActPlane,claude,claude:22ffeddd-8777-4e05-af12-df96fd639138,/home/yunwei37/.claude/projects/-home-yunwei37-workspace-ActPlane/22ffeddd-8777-4e05-af12-df96fd639138.jsonl,root,True,True,2300973,6d7bdd5a4afa61ec3cb67a636758a3a9c6dad3e2a97280da3ee10b8159f6a6a2,,unknown,unknown,True
