task,dataset,query_family,objective,metric,default_policy,best_policy,best_view,best_ranker,action_class,gain_over_default,default_is_best,best_is_visible_non_oracle,top5_positive,top5_work,packet_verdict,optimization_action,counterpoints
agentnet_incorrect_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.001427,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_incorrect_step,agentnet,step-quality,top5_localization_f1,top5_f1,operation_stack:query_aware,raw_action_stack:width,raw_action_stack,width,use_raw_action_mapping_counterpoint,0.1056,False,True,True,0.001427,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_incorrect_step,agentnet,step-quality,budget30_recall,budget30_recall,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.001427,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_incorrect_step,agentnet,step-quality,first_positive_work,work_to_first_positive,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.001427,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_incorrect_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,operation_stack:query_aware,raw_action_stack:width,raw_action_stack,width,use_raw_action_mapping_counterpoint,185.0,False,True,True,0.001427,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_incorrect_step,agentnet,step-quality,total_group_fragmentation,groups,operation_stack:query_aware,flat:width,flat,width,use_flat_full_recall_counterpoint,288.0,False,True,True,0.001427,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_redundant_step,agentnet,step-quality,ranking_fidelity_ap,average_precision,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.00894,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_redundant_step,agentnet,step-quality,top5_localization_f1,top5_f1,operation_stack:query_aware,raw_action_stack:width,raw_action_stack,width,use_raw_action_mapping_counterpoint,0.1103,False,True,True,0.00894,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_redundant_step,agentnet,step-quality,budget30_recall,budget30_recall,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.00894,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_redundant_step,agentnet,step-quality,first_positive_work,work_to_first_positive,operation_stack:query_aware,operation_stack:visible_risk,operation_stack,visible_risk,retune_operation_stack_ranker,0.004,False,True,True,0.00894,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_redundant_step,agentnet,step-quality,groups_to_50pct,groups_to_50pct_recall,operation_stack:query_aware,raw_action_stack:width,raw_action_stack,width,use_raw_action_mapping_counterpoint,156.0,False,True,True,0.00894,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentnet_redundant_step,agentnet,step-quality,total_group_fragmentation,groups,operation_stack:query_aware,flat:width,flat,width,use_flat_full_recall_counterpoint,259.0,False,True,True,0.00894,bounded_30pct_packet,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","[""fixed_session_lower_work_to_first_positive"", ""raw_action_or_baseline_stack_beats_mapping"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,average_precision,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.493827,actionable_budget_exception,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","[""fixed_session_lower_work_to_first_positive"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_f1,operation_stack:query_aware,dataset_native:query_aware,dataset_native,query_aware,use_dataset_native_hierarchy,0.0582,False,True,True,0.493827,actionable_budget_exception,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","[""fixed_session_lower_work_to_first_positive"", ""default_operation_stack_not_best_top5_f1""]"
agentreward_looping,agent-reward-bench,failure-looping,budget30_recall,budget30_recall,operation_stack:query_aware,operation_stack:query_aware,operation_stack,query_aware,keep_default_operation_stack,0.0,True,True,True,0.493827,actionable_budget_exception,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common.","[""fixed_session_lower_work_to_first_positive"", ""default_operation_stack_not_best_top5_f1""]"
