check,passed,detail
upstream_claim_gates_pass,True,R361=pass; R364=pass; R370=pass; R373=pass; R374=pass
exactly_three_plus_one_claim_gate_rows,True,rows=4
each_gate_has_decision_allowed_failure_forbidden,True,"Each row has a decision, allowed claim, failure interpretation, must-not-claim boundary, and evidence sources."
profiling_metrics_and_baselines_preserved,True,The paper still carries the profiler metrics and the named baseline families.
actionability_mechanisms_preserved,True,"R375 ties actionability to fields, mappings/tags, rankers, profile specs, and boundary-derived operation fields."
must_not_claims_preserved,True,"Metric dominance, human utility/productivity, automatic-boundary, and ecosystem-compatibility limits remain explicit."
paper_mentions_r375_claim_gate,True,Both papers and the evaluation ledger mention the R375 claim gate.
paper_summarizes_claim_gate_decisions,True,Both papers summarize the R375 decisions while the full table stays in the artifact ledger.
evaluation_records_claim_gate_role,True,The evaluation ledger records that R375 converts E1-E4 into scoped claim decisions.
no_new_data_or_profiler_rerun,True,"R375 reads tracked artifacts and paper text only; it does not sync data, relabel traces, or invoke agentpprof."
source_status_tracked,True,All R375 sources and generated claim-gate tables are tracked or staged as intent-to-add.
