source,task,dataset,objective_or_metric,counterpoint,best_policy,operation_stack_query_aware_regret,action
R341 objective lens,agentnet_incorrect_step,agentnet,top5_localization_f1,raw_action_stack_counterpoint,raw_action_stack:width,0.1056,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
R341 objective lens,agentnet_incorrect_step,agentnet,groups_to_50pct,raw_action_stack_counterpoint,raw_action_stack:width,185.0,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
R341 objective lens,agentnet_incorrect_step,agentnet,total_group_fragmentation,flat_summary_counterpoint,flat:width,288.0,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
R341 objective lens,agentnet_redundant_step,agentnet,top5_localization_f1,raw_action_stack_counterpoint,raw_action_stack:width,0.1103,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
R341 objective lens,agentnet_redundant_step,agentnet,first_positive_work,operation_stack_variant,operation_stack:visible_risk,0.004,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
R341 objective lens,agentnet_redundant_step,agentnet,groups_to_50pct,raw_action_stack_counterpoint,raw_action_stack:width,156.0,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
R341 objective lens,agentnet_redundant_step,agentnet,total_group_fragmentation,flat_summary_counterpoint,flat:width,259.0,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples."
R341 objective lens,agentreward_looping,agent-reward-bench,top5_localization_f1,dataset_native_hierarchy,dataset_native:query_aware,0.0582,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
R341 objective lens,agentreward_looping,agent-reward-bench,first_positive_work,raw_action_stack_counterpoint,raw_action_stack:visible_risk,0.2044,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
R341 objective lens,agentreward_looping,agent-reward-bench,groups_to_50pct,raw_action_stack_counterpoint,raw_action_stack:width,2.0,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
R341 objective lens,agentreward_looping,agent-reward-bench,total_group_fragmentation,flat_summary_counterpoint,flat:width,39.0,"Keep repeat_signal in the stack, but add prevalence-aware ranking because looping positives are common."
R341 objective lens,agentreward_side_effect,agent-reward-bench,ranking_fidelity_ap,fixed_session_drilldown,fixed_session:width,0.6021,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
R341 objective lens,agentreward_side_effect,agent-reward-bench,top5_localization_f1,fixed_session_drilldown,fixed_session:width,0.6635,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
R341 objective lens,agentreward_side_effect,agent-reward-bench,budget30_recall,fixed_session_drilldown,fixed_session:width,0.6188,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
R341 objective lens,agentreward_side_effect,agent-reward-bench,groups_to_50pct,fixed_session_drilldown,fixed_session:width,16.0,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
R341 objective lens,agentreward_side_effect,agent-reward-bench,total_group_fragmentation,flat_summary_counterpoint,flat:width,39.0,Increase weight on write/input actions or use a deeper side-effect mapping before ranking.
R341 objective lens,osworld_group_start,osworld-human,ranking_fidelity_ap,fixed_session_drilldown,fixed_session:query_aware,0.0091,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
R341 objective lens,osworld_group_start,osworld-human,top5_localization_f1,flat_summary_counterpoint,flat:width,0.0731,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
R341 objective lens,osworld_group_start,osworld-human,budget30_recall,operation_stack_width_counterpoint,operation_stack:width,0.127,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
R341 objective lens,osworld_group_start,osworld-human,first_positive_work,fixed_session_drilldown,fixed_session:visible_risk,0.1271,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
R341 objective lens,osworld_group_start,osworld-human,groups_to_50pct,dataset_native_hierarchy,dataset_native:visible_risk,61.0,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
R341 objective lens,osworld_group_start,osworld-human,total_group_fragmentation,flat_summary_counterpoint,flat:width,172.0,Use group-depth or boundary-derived fields for higher recall; action-depth alone fragments starts.
R341 objective lens,satraj_unsafe,satraj-os-safety,ranking_fidelity_ap,dataset_native_hierarchy,dataset_native:query_aware,0.2723,Use environment + phase + action stack fields; prioritize risky environments and write actions.
R341 objective lens,satraj_unsafe,satraj-os-safety,budget30_recall,dataset_native_hierarchy,dataset_native:query_aware,0.1624,Use environment + phase + action stack fields; prioritize risky environments and write actions.
R341 objective lens,satraj_unsafe,satraj-os-safety,first_positive_work,fixed_session_drilldown,fixed_session:query_aware,0.0075,Use environment + phase + action stack fields; prioritize risky environments and write actions.
R341 objective lens,satraj_unsafe,satraj-os-safety,groups_to_50pct,dataset_native_hierarchy,dataset_native:query_aware,37.0,Use environment + phase + action stack fields; prioritize risky environments and write actions.
R341 objective lens,satraj_unsafe,satraj-os-safety,total_group_fragmentation,flat_summary_counterpoint,flat:width,141.0,Use environment + phase + action stack fields; prioritize risky environments and write actions.
