task,dataset,query_family,policy,target_recall,reached,min_work,groups_inspected,achieved_recall,precision_at_target,f1_at_target,selected_budget,optimization_action,useful_stack_fields,counterpoints
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.1,True,0.0993,22,0.1625,0.0972,0.1216,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.25,True,0.1995,27,0.2986,0.0889,0.137,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.5,True,0.5,41,0.6419,0.0762,0.1363,budget50,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.1,True,0.0998,117,0.1636,0.0973,0.1221,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.25,True,0.1998,186,0.2803,0.0833,0.1285,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.5,True,0.5,425,0.619,0.0735,0.1314,budget50,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.1,True,1.0,1,1.0,0.0594,0.1121,top1,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.25,True,1.0,1,1.0,0.0594,0.1121,top1,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.5,True,1.0,1,1.0,0.0594,0.1121,top1,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,0.1,True,0.0499,41,0.1098,0.1306,0.1193,budget5,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,0.25,True,0.2,127,0.2895,0.086,0.1326,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,0.5,True,0.5,232,0.587,0.0697,0.1246,budget50,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,0.1,True,0.0999,3,0.1442,0.0857,0.1075,budget10,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,0.25,True,0.2,5,0.254,0.0754,0.1163,budget20,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,0.5,True,0.5,13,0.5732,0.0681,0.1217,budget50,"Use desktop environment + phase + repeat/action fields, then drill into fixed sessions for examples.","analysis_task,dataset,environment,phase,action,repeat_signal,status",raw_action_or_baseline_stack_beats_mapping; default_operation_stack_not_best_top5_f1
