category,key,status,detail
closest_work,classic_flamegraph_pprof,pass,Classic profilers are the fixed-call-stack baseline for folded stacks.
closest_work,opentelemetry_genai,pass,OpenTelemetry-style GenAI semantic conventions are the trace-schema threat.
closest_work,openinference,pass,OpenInference is a current AI-observability semantic convention for spans.
closest_work,langsmith,pass,LangSmith is a production LLM observability and evaluation platform.
closest_work,langfuse,pass,"Langfuse is an open LLM tracing, eval, and prompt-management platform."
closest_work,phoenix,pass,Phoenix is an OpenTelemetry/OpenInference-based tracing/eval platform.
closest_work,agentops,pass,AgentOps is the closest agent-specific observability taxonomy/tooling threat.
closest_work,public_labeled_trajectories,pass,The paper must distinguish itself from benchmarks that provide labeled trajectories.
novelty_delta,two_objects_only,pass,Novelty must stay on the two-abstraction model.
novelty_delta,query_time_projection,pass,"The paper must say stacks are selected at query time, not fixed at capture time."
novelty_delta,trace_tree_is_baseline,pass,LLM tracing systems should map to a fixed trace/span-tree baseline.
novelty_delta,public_dataset_use_not_benchmark,pass,The paper should use public labels as evidence rather than claim a new benchmark.
novelty_delta,non_flamegraph_views,pass,The paper must show the profiler is not only a flamegraph renderer.
baseline,dataset_native_sequence,pass,Reviewers will expect a comparison against the benchmark's native sequence view.
baseline,flat_action_summary,pass,Flat counting is the simplest aggregation baseline.
baseline,fixed_session_stack,pass,Fixed session or demo stacks test whether operation stacks add value.
baseline,fixed_trace_span_tree,pass,LLM observability systems motivate a trace-tree baseline.
baseline,frontier_counterpoints,pass,R313 should preserve counterpoints instead of claiming dominance.
guardrail,not_trace_ecosystem_compatibility,pass,不证明完整.*OpenTelemetry|不证明完整.*Perfetto|not.*trace-ecosystem|完整.*生态兼容
guardrail,not_human_utility,pass,不是 human study|不能.*开发者|不能.*human utility|not.*human study|not.*productivity
guardrail,not_single_view_dominance,pass,不是唯一最优|不能.*dominance|not.*dominance|counterpoint
guardrail,not_universal_detector,pass,不能.*detector|不是.*detector|not.*detector|无监督.*不
r313_alignment,tasks,pass,6
r313_alignment,datasets,pass,4
r313_alignment,operations,pass,"34,539"
r313_alignment,positive_operations,pass,"3,699"
r313_alignment,candidate_points,pass,162
r313_alignment,operation_stack_on_frontier,pass,6/6
r313_alignment,operation_stack_best_lift,pass,4/6
r313_alignment,operation_stack_best_recall_under_30pct_work,pass,4/6
r313_alignment,flat_on_frontier,pass,6/6
r313_alignment,fixed_session_on_frontier,pass,6/6
